Index,Observation,Risk,TrackTime,ReduceTime,TotalTime,NrBeliefsBR,NrBeliefsAR,Dimension,TimedOut
0,2444,1,3.3870999970986304e-05,0.007206907000011142,0.007240777999982129,2,2,2,False
1,2145,1,3.480700002000958e-05,0.007101575000035609,0.007136382000055619,2,2,2,False
2,2444,1,0.00044907000000193875,0.01251586299997598,0.012964932999977918,11,3,3,False
3,2145,1,3.862500000195723e-05,0.007506898000031015,0.007545523000032972,2,2,2,False
4,2444,1,7.097399998201581e-05,0.009024727999985771,0.009095701999967787,5,3,3,False
5,2145,1,3.44659999882424e-05,0.007772697999996581,0.007807163999984823,2,2,2,False
6,1405,1,0.00010427300003357232,0.00959517199999027,0.009699445000023843,5,3,3,False
7,2895,1,3.632599998582009e-05,0.007374010999967595,0.007410336999953415,2,2,2,False
8,1472,1,6.955999998581319e-05,0.007788941000001159,0.007858500999986973,5,3,3,False
9,413,1,3.575499999897147e-05,0.006884108000008382,0.0069198630000073535,2,2,2,False
10,1163,1,7.076899998992303e-05,0.010637773000041761,0.010708542000031684,5,3,3,False
11,2229,1,4.299500000115586e-05,0.007070876000000226,0.007113871000001382,3,3,3,False
12,1667,1,0.0002295040000035442,0.010730262000038238,0.010959766000041782,9,4,4,False
13,1665,1,4.36809999655452e-05,0.0071049140000241096,0.007148594999989655,2,2,2,False
14,2951,1,7.252399996104941e-05,0.0077316639999480685,0.007804187999909118,5,3,3,False
15,2208,1,3.701700001101926e-05,0.006831933000000845,0.006868950000011864,2,2,2,False
16,2951,1,6.996700000172495e-05,0.008531105999963984,0.008601072999965709,5,3,3,False
17,1878,1,6.64270000356737e-05,0.007219496999994135,0.007285924000029809,3,3,3,False
18,2372,1,0.00022681300004023797,0.009760719000041718,0.009987532000081956,9,4,4,False
19,2208,1,3.9350999998077896e-05,0.006570805999956519,0.006610156999954597,2,2,2,False
20,2951,1,6.599499999992986e-05,0.007754460000001018,0.007820455000000948,5,3,3,False
21,2208,1,3.237300001046606e-05,0.006799247000003561,0.006831620000014027,2,2,2,False
22,2951,1,6.987000000435728e-05,0.007592023000029258,0.007661893000033615,5,3,3,False
23,1878,1,4.0866999995614606e-05,0.00784814200000028,0.007889008999995895,3,3,3,False
24,2372,1,0.0002662850000092476,0.011176347000002806,0.011442632000012054,9,4,4,False
25,2208,1,4.3730000015784753e-05,0.0070647660000418,0.007108496000057585,2,2,2,False
26,2552,1,7.071300001371128e-05,0.0078079070000285355,0.007878620000042247,5,3,3,False
27,1955,1,3.6492999981874163e-05,0.007321848000003683,0.007358340999985558,2,2,2,False
28,865,1,7.523099998252292e-05,0.008780562000026748,0.008855793000009271,5,3,3,False
29,2850,1,4.130799999302326e-05,0.008557342000017343,0.008598650000010366,2,2,2,False
30,136,1,0.0002418119999560986,0.009901720000016212,0.01014353199997231,7,3,3,False
31,2411,1,5.19789999771092e-05,0.008065846999954829,0.008117825999931938,3,2,2,False
32,2398,1,8.27480000111791e-05,0.008437288999971315,0.008520036999982494,4,3,3,False
33,11,1645420078411901417468027622803577357049643827245229643649678170517138340749773069202407198767433727067481504464414579812980129006165861369/18842695564508271679985397690051333615120942097699286265670765179687500000000000000000000000000000000000000000000000000000000000000000000000000,4.7297999969941884e-05,0.006989647000011701,0.0070369449999816425,2,2,2,False
