Index,Observation,Risk,TrackTime,ReduceTime,TotalTime,NrBeliefsBR,NrBeliefsAR,Dimension,TimedOut
0,1405,1,0.005526419000005944,1.3309999928878824e-06,0.005527749999998832,2,2,2,False
1,2895,1,2.526800000168805e-05,9.120000186157995e-07,2.618000002030385e-05,2,2,2,False
2,1472,1,0.00023659300001099837,9.899999895424116e-07,0.00023758300000054078,11,11,3,False
3,565,1,0.00013626000000499516,8.749999835799827e-07,0.00013713499998857515,5,5,2,False
4,1807,1,0.0008167960000093899,9.059999968030752e-07,0.000817702000006193,16,16,3,False
5,908,1,0.0006976869999846258,1.2059999789926223e-06,0.0006988929999636184,16,16,3,False
6,1198,1,0.020801966999982824,1.8119999936061504e-06,0.02080377899997643,128,128,4,False
7,285,190613446319942638503535486694626144385359855127602393690543924272544736470557714309030985168996542326564507898453171398076972209862996023321101500339037/70938377295002676956115265690779179151531638939271146555836795284001750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.016722217999983968,1.7179999929339829e-06,0.016723935999976902,88,88,3,False
8,2859,190613446319942638503535486694626144385359855127602393690543924272544736470557714309030985168996542326564507898453171398076972209862996023321101500339037/70938377295002676956115265690779179151531638939271146555836795284001750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.06829092799998193,3.559000020914027e-06,0.06829448700000285,213,213,4,False
9,1621,5118153868439742593443845271848933547445136137975081731556081098501363459134930011279856376611623631590807876907459629520988075656256655125416448313/4136348530320855799190394500920068755191349209286947321040046372245000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.07982668799999715,1.9060000227000273e-06,0.07982859400001985,213,213,3,False
10,1180,5118153868439742593443845271848933547445136137975081731556081098501363459134930011279856376611623631590807876907459629520988075656256655125416448313/4136348530320855799190394500920068755191349209286947321040046372245000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.3997057400000017,2.590999997664767e-06,0.39970833099999936,473,473,4,False
11,1411,18447859996541739199962304730990736055601430583370911001698729201833218475744610281991026357668229788511820478404931894995558848421726373347147/206817426516042789959519725046003437759567460464347366052002318612250000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.011446516999995993,1.9039999870074098e-06,0.011448420999983,13,13,2,False
12,1499,18447859996541739199962304730990736055601430583370911001698729201833218475744610281991026357668229788511820478404931894995558848421726373347147/206817426516042789959519725046003437759567460464347366052002318612250000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0012691000000017993,1.2080000146852399e-06,0.0012703080000164846,14,14,3,False
13,2844,58218625186715683731701265537487526786972628153016082027699271954202315733615374312565042812754142596481874312414267421329562329273625398906261/389407668783063424523781425158046472810157018417156897795055794187065000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0007678279999936422,1.0440000153266737e-06,0.0007688720000089688,14,14,2,False
14,2726,18447859996541739199962304730990736055601430583370911001698729201833218475744610281991026357668229788511820478404931894995558848421726373347147/206817426516042789959519725046003437759567460464347366052002318612250000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0011643229999833693,1.1539999889009778e-06,0.0011654769999722703,15,15,3,False
15,2844,58218625186715683731701265537487526786972628153016082027699271954202315733615374312565042812754142596481874312414267421329562329273625398906261/389407668783063424523781425158046472810157018417156897795055794187065000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0007975499999872682,1.168999972378515e-06,0.0007987189999596467,15,15,2,False
16,2726,18447859996541739199962304730990736055601430583370911001698729201833218475744610281991026357668229788511820478404931894995558848421726373347147/206817426516042789959519725046003437759567460464347366052002318612250000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0012682480000023588,1.0279999855811184e-06,0.00126927599998794,16,16,3,False
17,1711,324633933160478849612954627788186117474912153457917167828848095696507208281713704158501827137951286903206873194898460377829646063936784583812413/6008932600690397517423874525693739881648690015605566758236604508479915000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0009870220000038898,1.188999988244177e-06,0.000988210999992134,16,16,3,False
18,1499,18447859996541739199962304730990736055601430583370911001698729201833218475744610281991026357668229788511820478404931894995558848421726373347147/206817426516042789959519725046003437759567460464347366052002318612250000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0064332709999916915,2.5969999910557817e-06,0.006435867999982747,61,61,4,False
19,1711,324633933160478849612954627788186117474912153457917167828848095696507208281713704158501827137951286903206873194898460377829646063936784583812413/6008932600690397517423874525693739881648690015605566758236604508479915000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.008895395999985567,3.918999993857142e-06,0.008899314999979424,59,59,3,False
20,1108,139649949286311707768691214532077490961225564600343738474827706939320714457051528586250564269068278684993280143018958388321872677599903273009/590906932902979399884342071560009822170192744183849617291435196035000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.04556207300001347,2.0220000180870557e-06,0.04556409500003156,157,157,4,False
21,551,5890807705073821996822584826627029525429547180277787104115122849189771506891936266605103272440753407881008734541482300040014733788246751/60296625806426469375953272608164267568387014712637716050146448575000000000000000000000000000000000000000000000000000000000000000000000000000000,0.07311375699998734,1.76699998633012e-06,0.07311552399997368,150,150,3,False
22,736,21015944398719666758634215096458053219207954359605346800398980908408310619923167092306427284640724099278552768158515733674322624039514297547/590906932902979399884342071560009822170192744183849617291435196035000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.4329272639999999,2.7720000161934877e-06,0.4329300360000161,463,463,4,False
23,551,4034348280215903699113084176965684164132673588526032732743204535803895870558868615593728745400190517902718811023238080323908367834845294631/192563304175403572599044371401433404906400770186279809977747698169120000000000000000000000000000000000000000000000000000000000000000000000000000000,0.6411623989999953,2.617000006921444e-06,0.6411650160000022,418,418,3,False
24,1769,0,0,0,0,0,0,0,True
