Index,Observation,Risk,UnfTime,McTime,TotalTime,MdpStates,MdpTransitions,TimedOut
0,2444,1,3.5858000003941015e-05,5.881399999907444e-05,9.467200000301546e-05,5,9,False
1,660,1,3.606700001057561e-05,5.152299999622301e-05,8.759000000679862e-05,7,13,False
2,1574,1,5.693100000314644e-05,0.0007685329999986834,0.0008254640000018298,10,28,False
3,2895,1,6.777800000179468e-05,7.521300000234987e-05,0.00014299100000414455,12,31,False
4,1472,1,8.492999999987205e-05,0.0007606249999980719,0.0008455549999979439,15,46,False
5,413,1,8.851500000162105e-05,9.008600000015576e-05,0.0001786010000017768,17,49,False
6,1163,1,0.00010160500001177297,0.0007044379999996409,0.0008060430000114138,20,64,False
7,110,1,0.00011872900000753361,0.00011138699998980428,0.0002301159999973379,22,67,False
8,1163,1,0.00013310299999602648,0.0007116749999909189,0.0008447779999869454,25,82,False
9,110,1,0.0001394399999981033,0.00013056599999572427,0.00027000599999382757,27,85,False
10,1163,1,0.0001504970000070216,0.0007099249999953372,0.0008604220000023588,30,100,False
11,908,1,0.0001560739999888483,0.00017151499999101816,0.00032758899997986646,32,104,False
12,1198,1,0.00016787799999917752,0.00018247300000950872,0.00035035100000868624,35,117,False
13,1158,1,0.00017202899999801957,0.00018782200000089233,0.0003598509999989119,37,120,False
14,2372,1,0.0002100720000015599,0.00019863899998995294,0.00040871099999151284,40,133,False
15,1788,186063903194784630624484623670534841693585303384130527554577203822813201111524735960012973175517591929217689922121740783991002303674431192043305075037/28954439712245990594332761506440481286339444465008631247280324605715000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.00021570500000223092,0.006886950999998476,0.007102656000000707,42,137,False
16,213,186063903194784630624484623670534841693585303384130527554577203822813201111524735960012973175517591929217689922121740783991002303674431192043305075037/28954439712245990594332761506440481286339444465008631247280324605715000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0002820729999939431,0.005131110000007766,0.005413183000001709,45,145,False
17,1789,666325866782713921211175075257483343386177090435035080661785484988208505413813141141288733082559768649500717307649821952421682749790674666164082952369/156570719109117162053274488806626810549005026809613244774936251300766638000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.00033202599999526683,0.007447933999998213,0.00777995999999348,48,151,False
18,903,635664986162043184928992985990368314679259162682661483417838526602264145212713967205797429858633864246203751762166698720011594682943862319176854839/41363485303208557991903945009200687551913492092869473210400463722450000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.00040815399999871715,0.007517254000006801,0.007925408000005518,52,162,False
19,1795,448720373961981577853413648214005088248209926914892452104392446170148041284472397892108335139317096859267380867015233892126153559595721477179359/59090693290297939988434207156000982217019274418384961729143519603500000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0003542310000028692,0.011128990999992538,0.011483221999995408,55,167,False
20,1609,63365895239050349585997017333984936604825765916432177279634181359064970140529226289178328229136815400008004190580030314776957434043693723522230679/20681742651604278995951972504600343775956746046434736605200231861225000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.000377200000002631,0.010426778999999442,0.010803979000002073,59,178,False
21,2844,476982239456531819698197521046515418626970487326978178955688947750623854757584117766999696877987565439521115667259391720705365106577416104839/337661104515988228505338326605719898382967282390771209880820112020000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0003307210000116356,0.010819025000003535,0.01114974600001517,62,183,False
22,2726,910931447384111776326294927269711694435139226470919787603343287245052731943547346815988761093413831021939351261917446375239805658944839197448719/1654539412128342319676157800368027502076539683714778928416018548898000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0003436229999920215,0.010544950999999969,0.01088857399999199,66,194,False
23,2844,8279959284082209998069081475206257621057349293633368505571220346538583038574043310646763857908734557310577497404760965843073303842379215698031679/24035730402761590069695498102774959526594760062422267032946418033919660000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.00047352299999658953,0.009567812000000231,0.01004133499999682,69,199,False
24,2726,910931447384111776326294927269711694435139226470919787603343287245052731943547346815988761093413831021939351261917446375239805658944839197448719/1654539412128342319676157800368027502076539683714778928416018548898000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0003717600000072707,0.011817972000002896,0.012189732000010167,73,210,False
25,1795,703970222541797825413094547333172852830602939733210367183648625560979433118196981451165424846654642010779310089963350043746790350741782546849381/778815337566126849047562850316092945620314036834313795590111588374130000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.00037366300000485353,0.003972081000000571,0.004345744000005425,75,212,False
26,1609,910931447384111776326294927269711694435139226470919787603343287245052731943547346815988761093413831021939351261917446375239805658944839197448719/1654539412128342319676157800368027502076539683714778928416018548898000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.00036234000000945343,0.00371718300000623,0.0040795230000156835,78,220,False
27,1795,703970222541797825413094547333172852830602939733210367183648625560979433118196981451165424846654642010779310089963350043746790350741782546849381/778815337566126849047562850316092945620314036834313795590111588374130000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.00032968800000787724,0.004239398999999366,0.004569087000007244,80,223,False
28,1993,476982239456531819698197521046515418626970487326978178955688947750623854757584117766999696877987565439521115667259391720705365106577416104839/337661104515988228505338326605719898382967282390771209880820112020000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0004020230000065794,0.007964401999998927,0.008366425000005506,83,231,False
29,1996,75831680911780366589290113539987914885117110180431590513546510762696160441079066570364664871033887806973428371751011392831967142693839173/120593251612852938751906545216328535136774029425275432100292897150000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0005451809999925672,0.011319178000007923,0.01186435900000049,85,234,False
30,1021,75831680911780366589290113539987914885117110180431590513546510762696160441079066570364664871033887806973428371751011392831967142693839173/120593251612852938751906545216328535136774029425275432100292897150000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0004044049999976096,0.008633127999999601,0.009037532999997211,88,242,False
31,613,3063132950523712321641695044938910167389297651322620776395039777315772081459252256189949352836076779729077096060285522543093220358739868253/2874057127214074732132172724563846190463769623731360196055551944730000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0005059639999984711,0.004512654999999199,0.0050186189999976705,90,245,False
32,1551,118011709396618945434119887188517595922441002481607895250832489491398517425538389816975930602548391280005713165187774132371340407842701/70316764788835532799945507414768825152637918032230572653232010000000000000000000000000000000000000000000000000000000000000000000000000000000,0.00040784600000165483,0.007878984999990735,0.00828683099999239,93,253,False
33,198,28169270769225919266415612579052423973076616913816331279301362516692018521001002823328998508361889043552058499235435082084561035777/6278282570431743999995134590604359388628385538592015415467143750000000000000000000000000000000000000000000000000000000000000000000000000,0.00039142599999308914,0.004568961999993348,0.0049603879999864375,94,253,False
34,72,118011709396618945434119887188517595922441002481607895250832489491398517425538389816975930602548391280005713165187774132371340407842701/70316764788835532799945507414768825152637918032230572653232010000000000000000000000000000000000000000000000000000000000000000000000000000000,0.000435838000001354,0.0059295199999951365,0.0063653579999964904,96,258,False
35,198,28169270769225919266415612579052423973076616913816331279301362516692018521001002823328998508361889043552058499235435082084561035777/6278282570431743999995134590604359388628385538592015415467143750000000000000000000000000000000000000000000000000000000000000000000000000,0.0005626550000101815,0.005014866999999867,0.005577522000010049,97,259,False
36,200,28169270769225919266415612579052423973076616913816331279301362516692018521001002823328998508361889043552058499235435082084561035777/6278282570431743999995134590604359388628385538592015415467143750000000000000000000000000000000000000000000000000000000000000000000000000,0.0004734860000041863,0.005317941999990694,0.00579142799999488,99,264,False
37,2063,761807342268758595367636332316339275739061551556178271391765258996533060132951979044894924858858248259514698943028239952211367/366080616351705189504089480501711917704279040151137925100125000000000000000000000000000000000000000000000000000000000000000000000000,0.00051923499999873,0.005205746000001454,0.005724981000000184,100,265,False
38,2088,75161235722181550846690872745934445608856474078832257941954265665370413677034819248199599921420389854550568646353298855099729533579/100452521126907903999922153449669750218054168617472246647474300000000000000000000000000000000000000000000000000000000000000000000000000000,0.0005233520000018643,0.0050680230000068605,0.005591375000008725,102,270,False
39,63,761807342268758595367636332316339275739061551556178271391765258996533060132951979044894924858858248259514698943028239952211367/366080616351705189504089480501711917704279040151137925100125000000000000000000000000000000000000000000000000000000000000000000000000,0.0005009730000011814,0.005300223000006099,0.00580119600000728,103,271,False
40,113,75161235722181550846690872745934445608856474078832257941954265665370413677034819248199599921420389854550568646353298855099729533579/100452521126907903999922153449669750218054168617472246647474300000000000000000000000000000000000000000000000000000000000000000000000000000,0.0005139829999905032,0.005062051000010115,0.005576034000000618,105,276,False
41,2378,165141572625904429974063701133796984858338468356082648397831336106323242896977246900731773655561832839682232471720357986264330529753/125964181410820000337404423784140571434657297106110443100123875080000000000000000000000000000000000000000000000000000000000000000000000000,0.000514056000000096,0.00526269799999568,0.005776753999995776,107,280,False
42,1561,761807342268758595367636332316339275739061551556178271391765258996533060132951979044894924858858248259514698943028239952211367/366080616351705189504089480501711917704279040151137925100125000000000000000000000000000000000000000000000000000000000000000000000000,0.0005299899999897661,0.009315256999997246,0.009845246999987012,110,288,False
43,911,5510183664572940083095497710630543159680561223253158825963847883218725812151444432771096297237335890581817641211240898276152697/4338218732614292078297346098177653060473253178933909027581615234375000000000000000000000000000000000000000000000000000000000000000000,0.0005658550000049445,0.014898993000002747,0.015464848000007692,113,294,False
44,626,606140172085702807250360858636656994932419249956352990343925513005691277972657782467873593695246806547981454332767344652579/104594461814772911286882708714774833629794011471753692885750000000000000000000000000000000000000000000000000000000000000000000000,0.0005671149999955105,0.014711245000000872,0.015278359999996383,117,305,False
45,1118,9301871104493865561958981435103503704918127476988783369995731072336498417505239267111602441708292769553403472592419499692023/910728069290858546329965481613330095108076381286618495914645000000000000000000000000000000000000000000000000000000000000000000000,0.0006927490000094849,0.006380901999989419,0.007073650999998904,119,307,False
46,747,688562240256782431601940136531990925086376814441903162632819081986444771820978855591589903277436518618451995372634444063/42691617067254249504850085189704013726446535294593344035000000000000000000000000000000000000000000000000000000000000000000000,0.0006378419999890639,0.010119664000001194,0.010757505999990258,122,315,False
47,2894,1196949181313891663294490082372240441539082639256289970245030122931088570734446523074571740122658017075849912796972603/152470060954479462517321732820371477594451911766404800125000000000000000000000000000000000000000000000000000000000000000000,0.0005705250000005435,0.015243350999995187,0.01581387599999573,124,318,False
48,1422,1196949181313891663294490082372240441539082639256289970245030122931088570734446523074571740122658017075849912796972603/152470060954479462517321732820371477594451911766404800125000000000000000000000000000000000000000000000000000000000000000000,0.0006437539999950559,0.010814213999992717,0.011457967999987773,127,326,False
49,715,4678734536654185699435843803731600028311572751509102618826002552631983554863484267280638241379562813900834330181/1270054651849058413305470494130541254431086312090002500000000000000000000000000000000000000000000000000000000000000000,0.0006174179999902663,0.01575834599999837,0.016375763999988635,129,329,False
50,2198,4678734536654185699435843803731600028311572751509102618826002552631983554863484267280638241379562813900834330181/1270054651849058413305470494130541254431086312090002500000000000000000000000000000000000000000000000000000000000000000,0.0005869360000048118,0.011253994999989914,0.011840930999994725,132,337,False
51,1054,1206972814252131962996997406183071666390025195717224014621937285859317234132373607666949969823458142108057597/725745515342319093317411710931737859674906464051430000000000000000000000000000000000000000000000000000000000000000,0.0006439139999940835,0.016371917000000735,0.01701583099999482,134,340,False
52,1759,1206972814252131962996997406183071666390025195717224014621937285859317234132373607666949969823458142108057597/725745515342319093317411710931737859674906464051430000000000000000000000000000000000000000000000000000000000000000,0.0006145809999935636,0.012311591999988991,0.012926172999982555,137,348,False
53,1618,426893941913885138345701763743632830456331772271258509384099069572730980304953925164711203339788620327181/592445318646791096585642213005500293612168542082800000000000000000000000000000000000000000000000000000000000000,0.0006270659999927375,0.017290271999996776,0.017917337999989513,139,351,False
54,2663,426893941913885138345701763743632830456331772271258509384099069572730980304953925164711203339788620327181/592445318646791096585642213005500293612168542082800000000000000000000000000000000000000000000000000000000000000,0.0006493979999930843,0.012199827000003438,0.012849224999996522,142,359,False
55,1868,18064914235891281763363598456999858139592835553828905899578718408874129628447308529325572133424933069/60453603943550111896494103367908193225731483886000000000000000000000000000000000000000000000000000000000000,0.0007077329999987114,0.016956680999996365,0.017664413999995077,144,362,False
