Index,Observation,Risk,UnfTime,McTime,TotalTime,MdpStates,MdpTransitions,TimedOut
0,2444,1.0,6.296399999428104e-05,0.00015154299998698662,0.00021450699998126765,5,9,False
1,2145,1.0,4.689100001087354e-05,9.04859999764085e-05,0.00013737699998728203,7,13,False
2,1405,1.0,5.575600002316605e-05,7.969400002139082e-05,0.00013545000004455687,10,28,False
3,880,1.0,3.3014999985425675e-05,5.297600000631064e-05,8.599099999173632e-05,13,34,False
4,1574,1.0,3.436899999087473e-05,4.524999999944157e-05,7.96189999903163e-05,17,52,False
5,880,1.0,3.4084999981587316e-05,0.00016330500000094617,0.00019738999998253348,20,57,False
6,1811,1.0,3.902899999275178e-05,4.760000001624576e-05,8.662900000899754e-05,24,75,False
7,565,1.0,4.070299999625604e-05,4.943400000456677e-05,9.013700000082281e-05,27,81,False
8,1807,1.0,4.314500000646149e-05,4.864400000315072e-05,9.178900000961221e-05,31,97,False
9,2229,1.0,5.0956000023916204e-05,4.931199998736702e-05,0.00010026800001128322,33,99,False
10,1924,1.0,4.8047000007045426e-05,6.538200000250072e-05,0.00011342900000954614,36,112,False
11,908,1.0,6.789799999751267e-05,5.540500001188775e-05,0.00012330300000940042,39,118,False
12,1198,1.0,6.061499999532316e-05,5.0258000015901416e-05,0.00011087300001122458,43,134,False
13,285,2.6894865913386734e-06,6.124700001919337e-05,0.00012112800001773394,0.0001823750000369273,46,140,False
14,79,1.1250138069539795e-06,0.00015175999999428313,0.0001014940000061415,0.00025325400000042464,50,151,False
15,1121,8.456912788300815e-08,7.226500000001579e-05,0.00010102899997832537,0.00017329399997834116,52,153,False
16,2652,8.495553691831509e-08,7.00899999799276e-05,0.00015242500001022563,0.00022251499999015323,55,161,False
17,977,5.2249410712191184e-08,7.819000001063614e-05,9.833900000444373e-05,0.00017652900001507987,58,167,False
18,2652,8.495553691831509e-08,7.566200000042045e-05,9.137100002476473e-05,0.00016703300002518517,62,178,False
19,2539,3.382058700289646e-08,7.467099999303173e-05,0.00010358599999449325,0.00017825699998752498,65,183,False
20,961,3.4012538291253874e-08,8.139100000903454e-05,9.625700002402482e-05,0.00017764800003305936,69,194,False
21,630,1.3004624714218478e-08,8.488700001407778e-05,0.00011047299997812843,0.0001953599999922062,72,199,False
22,1989,4.806639093685457e-09,8.743899999785754e-05,0.00013442600001667415,0.0002218650000145317,76,210,False
23,630,2.807756286330137e-09,9.203799999113471e-05,0.00010627700001464291,0.00019831500000577762,79,215,False
24,1989,4.806639093685457e-09,9.490299999015406e-05,0.00010328100000833729,0.00019818399999849134,83,226,False
25,1411,8.139849795412874e-09,9.373500000720014e-05,0.00011033600000587285,0.000204071000013073,85,228,False
26,961,4.806639093685457e-09,9.760999998320585e-05,0.00010605100001725987,0.00020366100000046572,88,236,False
