Index,Observation,Risk,TrackTime,ReduceTime,TotalTime,NrBeliefsBR,NrBeliefsAR,Dimension,TimedOut
0,2739,1,2.705999997942854e-05,0.0074571359999708875,0.007484195999950316,2,2,2,False
1,1851,1,8.103900006517506e-05,0.008003452999901128,0.008084491999966303,2,2,2,False
2,2698,1,0.0003031410000176038,0.011644896000007066,0.01194803700002467,11,3,3,False
3,2669,1,4.097800001545693e-05,0.006841230000077303,0.00688220800009276,3,3,3,False
4,2291,1,0.0002129069999909916,0.01085653099994488,0.011069437999935872,9,4,4,False
5,1527,1,5.841899996994471e-05,0.00709204299994326,0.007150461999913205,4,4,4,False
6,2366,1,0.0002628819999017651,0.01061556100000871,0.010878442999910476,11,5,5,False
7,253,1,6.129299993062887e-05,0.007253110999954515,0.007314403999885144,5,5,4,False
8,1595,1,0.00026554499993380887,0.010666736999951354,0.010932281999885163,11,5,5,False
9,253,1,6.264199998895492e-05,0.006885968999995384,0.006948610999984339,5,5,4,False
10,1595,1,0.0002604510000310256,0.01056173500001023,0.010822186000041256,11,5,5,False
11,1230,1,8.783999999195657e-05,0.007355180999979893,0.00744302099997185,5,5,5,False
12,99,1,0.00029276299994762667,0.010919079000018428,0.011211841999966055,13,6,6,False
13,1612,1,8.531400010269863e-05,0.008183418999919922,0.008268733000022621,6,6,6,False
14,1979,1,0.0003512170000021797,0.012324290000037763,0.012675507000039943,15,7,7,False
15,378,1,7.232899997688946e-05,0.00817493200008812,0.00824726100006501,5,5,4,False
16,1269,1,0.00026237399993078725,0.011050285999999687,0.011312659999930474,11,5,5,False
17,378,1,6.341200003134873e-05,0.008724706000066362,0.008788118000097711,5,5,4,False
18,2255,1,0.00027179899996099266,0.010675827000000027,0.01094762599996102,11,5,5,False
19,1350,1,6.379500007369643e-05,0.007156731999998556,0.007220527000072252,5,5,4,False
20,2255,1,0.0004207839999708085,0.010448926999970354,0.010869710999941162,11,5,5,False
21,1350,1,6.464900002356444e-05,0.006864059999998062,0.006928709000021627,5,5,4,False
22,2255,1,0.0002693860000135828,0.010698104999960378,0.010967490999973961,11,5,5,False
23,1350,1,6.867299998702947e-05,0.007306517000074564,0.007375190000061593,5,5,4,False
24,2255,1,0.0002577079999355192,0.01212311199992655,0.01238081999986207,11,5,5,False
25,1350,1,6.550599994170625e-05,0.007248813999922277,0.007314319999863983,5,5,4,False
26,2915,1,0.00026482700002361526,0.010218763000011677,0.010483590000035292,11,5,5,False
27,2654,1,6.72670000767539e-05,0.0069770189999189824,0.007044285999995736,5,5,4,False
28,1548,1,0.00026113399997029774,0.010220174999972187,0.010481308999942485,11,5,5,False
29,1480,1,5.761499994605401e-05,0.007373781000069357,0.007431396000015411,5,5,4,False
30,323,1,0.00023884500001258857,0.010403902999996717,0.010642748000009306,11,5,5,False
31,2464,1,9.455600002183928e-05,0.00716417499995714,0.0072587309999789795,5,5,4,False
32,2615,1,0.00024875999997675535,0.010339090000002216,0.010587849999978971,11,5,5,False
33,2926,1,9.386199997152289e-05,0.006894549999969968,0.006988411999941491,5,5,4,False
34,2615,1,0.00025505200005682127,0.010295322999922973,0.010550374999979795,11,5,5,False
35,2926,1,5.953900006261392e-05,0.007568350000042301,0.007627889000104915,5,5,4,False
36,300,1,0.00025498699994841445,0.011569029999918712,0.011824016999867126,11,5,5,False
37,372,1,7.006600003478525e-05,0.0069308330000694696,0.007000899000104255,5,5,5,False
38,1662,1,0.000285988999962683,0.01116241700003684,0.011448405999999522,13,6,6,False
39,1333,1,6.619700002374884e-05,0.007126253000024008,0.0071924500000477565,5,5,4,False
40,2250,1,0.00025030000006154296,0.010336249999909342,0.010586549999970885,11,5,5,False
41,1600,1,9.52630000483623e-05,0.0076147600000240345,0.007710023000072397,5,5,4,False
42,1970,1,0.0002520740000591104,0.010344442000018716,0.010596516000077827,11,5,5,False
43,2614,1,6.768200000806246e-05,0.007159875999946053,0.007227557999954115,5,5,4,False
44,541,1,0.0002477259999977832,0.010742055000036999,0.010989781000034782,11,5,5,False
45,2855,1,9.326099996087578e-05,0.007258664999994835,0.007351925999955711,5,5,4,False
46,541,1,0.00024047199997312418,0.010576787999980297,0.010817259999953421,11,5,5,False
47,2855,1,6.121000001257926e-05,0.0072805270000344535,0.007341737000047033,5,5,4,False
48,1918,1,0.00024349299997084017,0.01126520899993011,0.01150870199990095,11,5,5,False
49,2708,1,6.726599997364247e-05,0.007085404000008566,0.0071526699999822085,5,5,5,False
50,718,1,0.00027213999999275984,0.011705065999990438,0.011977205999983198,13,6,6,False
51,1834,1,6.506900001568283e-05,0.00699281599997903,0.007057884999994712,5,5,4,False
52,1403,1,0.0002515180000273176,0.010813262000056056,0.011064780000083374,11,5,5,False
53,1834,1,6.190099998093501e-05,0.0070449010000857015,0.0071068020000666365,5,5,4,False
54,1403,1,0.00023862799992002692,0.010834639999984574,0.011073267999904601,11,5,5,False
55,1834,1,5.9800000030918454e-05,0.00705846800008203,0.007118268000112948,5,5,4,False
56,1403,1,0.000280132000057165,0.010465390000035768,0.010745522000092933,11,5,5,False
57,1091,1,9.876700005406747e-05,0.0078050160000202595,0.007903783000074327,5,5,5,False
58,2944,1,0.00028611299990188854,0.012461294999980055,0.012747407999881943,13,6,6,False
59,511,1,8.17979999965246e-05,0.00804946400000972,0.008131262000006245,6,6,6,False
60,1426,1,0.00033085900008700264,0.01308846300003097,0.013419322000117972,15,7,7,False
61,1513,1,7.721299994045694e-05,0.0073497280000083265,0.007426940999948783,6,6,5,False
62,315,1,0.00029155999993690784,0.012036059999900317,0.012327619999837225,13,6,6,False
63,1839,1,7.328700007747102e-05,0.007018647999984751,0.007091935000062222,6,6,5,False
64,315,1,0.0003141909999158088,0.010932639999964522,0.01124683099988033,13,6,6,False
65,1366,1,7.8922999932729e-05,0.00714400200001819,0.007222924999950919,6,6,6,False
66,2749,1,0.00031636299991077976,0.011986084999989544,0.012302447999900323,15,7,7,False
67,1839,1,0.00010941499999717053,0.007620877000022119,0.00773029200001929,6,6,5,False
68,315,1,0.0002694129999554207,0.01232277399992654,0.01259218699988196,13,6,6,False
69,2276,1,0.00017848900006356416,0.007305064999968636,0.0074835540000322,6,6,6,False
70,2008,1,0.0004661209999312632,0.01469163000001572,0.015157750999946984,15,7,7,False
71,1511,1,9.700400005385745e-05,0.007672001999935674,0.007769005999989531,7,7,7,False
72,586,1,0.00036287600005380227,0.01301143199998478,0.013374308000038582,17,8,8,False
73,414,1,0.0002054750000297645,0.007856591000063418,0.008062066000093182,8,8,7,False
74,586,1,0.0004953000000114116,0.013062440999988212,0.013557740999999623,17,8,8,False
75,1231,616201807070545395133621987881611029458802128794368565373105543797984074724029543006370522372929927/1258925529853188502634196238398754544475874300000000000000000000000000000000000000000000000000000000,8.463500000743807e-05,0.00719883099998242,0.007283465999989858,5,5,5,False
76,2621,616201807070545395133621987881611029458802128794368565373105543797984074724029543006370522372929927/1258925529853188502634196238398754544475874300000000000000000000000000000000000000000000000000000000,0.00019473600002584135,0.00854429399998935,0.008739030000015191,9,5,6,False
77,1343,271314957653309002868953683052430184259096151830383533358465560101996533970863617034619904922199984199/575186631480960479085366590189848600291262384822000000000000000000000000000000000000000000000000000000,0.00011735700002191152,0.00719928399996661,0.007316640999988522,5,5,6,False
78,2272,616201807070545395133621987881611029458802128794368565373105543797984074724029543006370522372929927/1258925529853188502634196238398754544475874300000000000000000000000000000000000000000000000000000000,0.0002285130000245772,0.011067281999999068,0.011295795000023645,11,6,7,False
