Index,Observation,Risk,UnfTime,McTime,TotalTime,MdpStates,MdpTransitions,TimedOut
0,2213,1.0,8.951299997761453e-05,4.278500000509666e-05,0.0001322979999827112,5,9,False
1,2669,1.0,2.330799998162547e-05,3.399899998157707e-05,5.730699996320254e-05,7,13,False
2,2291,1.0,2.4252000002888963e-05,5.551700002115467e-05,7.976900002404363e-05,10,28,False
3,1527,1.0,4.083599998239151e-05,4.3351999977403466e-05,8.418799995979498e-05,13,34,False
4,2366,1.0,3.059199997323958e-05,4.2486999973334605e-05,7.307899994657419e-05,17,52,False
5,1612,1.0,3.367800002251897e-05,4.520799996043934e-05,7.888599998295831e-05,21,60,False
6,1979,1.0,3.947900000866866e-05,4.4298000034359575e-05,8.377700004302824e-05,26,81,False
7,1884,2.69345643233356e-06,4.086499995992199e-05,0.00011707100003377491,0.0001579359999936969,29,87,False
8,1675,2.7004637102812434e-06,0.00012916200000745448,9.22780000109924e-05,0.00022144000001844688,33,98,False
9,2117,4.10784138784658e-06,0.00010154099999226673,0.00011407400000962298,0.0002156150000018897,37,106,False
10,1041,6.4582227999952845e-06,5.3019000006315764e-05,0.00012039000000640954,0.0001734090000127253,42,120,False
11,2542,4.320779203105003e-06,8.310599997685131e-05,0.00016220200001271223,0.00024530799998956354,47,130,False
12,1608,1.5444619968793167e-05,6.841399999757414e-05,0.00011932500001421431,0.00018773900001178845,53,147,False
13,2889,1.3252329802949956e-05,7.02300000057221e-05,0.00010227600000689563,0.00017250600001261773,59,159,False
14,687,1.5444619968793167e-05,7.581599999184618e-05,0.00010686300004181248,0.00018267900003365867,66,179,False
15,1945,7.6189946891468526e-06,8.914099998946767e-05,0.00021520899997540255,0.0003043499999648702,72,190,False
16,1871,7.631725923678992e-06,0.0001629679999837208,0.00012407700000949262,0.0002870449999932134,79,210,False
17,2191,6.271633066092366e-06,0.00010466999998470783,0.00011297700001478006,0.0002176469999994879,85,221,False
18,136,1.890516771358521e-05,9.795900001563496e-05,9.9028000022372e-05,0.00019698700003800695,92,241,False
19,2206,9.31164820452541e-06,0.0001527240000314123,0.0001387950000548699,0.0002915190000862822,98,252,False
20,2528,3.6315928010737737e-06,0.00011193299997103168,0.00017653100002235078,0.00028846399999338246,105,272,False
