Index,Observation,Risk,UnfTime,McTime,TotalTime,MdpStates,MdpTransitions,TimedOut
0,2119,1,0.00011638099999800033,6.817999999952917e-05,0.0001845609999975295,7,14,False
1,2432,1,5.434800000614359e-05,6.204499999284963e-05,0.00011639299999899322,11,22,False
2,2119,1,0.00011810200000184068,0.00016270599999756996,0.00028080799999941064,17,68,False
3,2432,1,0.00012476800000627009,0.00011932599998942806,0.00024409399999569814,21,74,False
4,2119,1,0.00016297000000520256,0.0001993989999959922,0.00036236900000119476,27,120,False
5,2432,1,0.0001818460000038158,0.0001756790000086994,0.0003575250000125152,31,126,False
6,748,1,0.0002463099999943097,0.00026306699999167904,0.0005093769999859887,37,172,False
7,1414,1,0.0002705630000008341,0.00024224099999514692,0.000512803999995981,41,178,False
8,233,1,0.00031442300000605883,0.0003283300000020972,0.000642753000008156,47,224,False
9,2804,1,0.000401284999995255,0.0003388820000083115,0.0007401670000035665,51,230,False
10,340,1,0.00042742300000497835,0.00038457400000879716,0.0008119970000137755,57,276,False
11,2279,1,0.00043883300000402414,0.0004108760000036682,0.0008497090000076923,63,288,False
12,1836,1,0.0005188210000000026,0.0006665049999980965,0.0011853259999980992,71,344,False
13,2860,1,0.000538363000003983,0.00046091699999806224,0.0009992800000020452,75,348,False
14,340,1,0.0005817090000022063,0.0005314999999939118,0.0011132089999961181,81,394,False
15,2279,1,0.0005494639999881201,0.0005362199999865425,0.0010856839999746626,87,406,False
16,2046,1,0.0005936089999920569,0.0006127590000062355,0.0012063679999982924,95,462,False
17,1366,1,0.0007033090000021502,0.0006028669999977865,0.0013061759999999367,99,466,False
18,2761,1,0.0009569319999940262,0.0008481910000028847,0.001805122999996911,105,512,False
19,378,1,0.0009392599999955564,0.0006657249999904025,0.001604984999985959,111,524,False
20,2046,1,0.0008764100000036024,0.0007004859999995006,0.001576896000003103,119,580,False
21,1366,1,0.0007956909999933259,0.0007173879999982091,0.001513078999991535,123,584,False
22,2761,1,0.000826310999997304,0.0007230450000008659,0.0015493559999981699,129,630,False
23,1366,1,0.0008367039999939152,0.0006969829999974309,0.001533686999991346,133,636,False
24,2761,1,0.0009177120000032346,0.0007998800000024175,0.0017175920000056522,139,682,False
25,1366,1,0.0010303179999908707,0.0007683420000006436,0.0017986599999915143,143,688,False
26,2761,1,0.000989631999999574,0.0012476130000038665,0.0022372450000034405,149,734,False
27,1366,1,0.0012717299999991383,0.0010911609999908478,0.002362890999989986,153,740,False
28,2595,1,0.0012649880000026315,0.0012152180000128965,0.002480206000015528,159,786,False
29,1549,1,0.0010804849999885846,0.0009414679999935061,0.0020219529999820907,163,792,False
30,1384,1,0.0011077780000050552,0.001008005000002754,0.0021157830000078093,169,838,False
31,875,1,0.0010469820000054142,0.000921437999991781,0.001968419999997195,173,844,False
32,1384,1,0.0010771480000073552,0.0009956819999956679,0.002072830000003023,179,890,False
33,875,1,0.0011223610000001827,0.0010784119999982522,0.002200772999998435,183,896,False
34,1384,1,0.0011567250000013019,0.0011577420000037364,0.0023144670000050382,189,942,False
35,210,1,0.0013254160000002457,0.001210743999990882,0.0025361599999911277,195,954,False
36,1866,1,0.0013346580000046515,0.001266696999991268,0.0026013549999959196,203,1010,False
37,1809,1,0.0013565520000042852,0.0014353360000001203,0.0027918880000044055,209,1020,False
38,1866,1,0.0015619619999966972,0.0012689990000041007,0.002830961000000798,217,1076,False
39,1809,1,0.0015461020000060444,0.0013417360000005374,0.0028878380000065818,223,1086,False
40,490,1,0.0015551310000034846,0.0016177920000046697,0.0031729230000081543,231,1142,False
41,410,1,0.0017404090000070482,0.0012764210000000276,0.003016830000007076,235,1146,False
42,266,1,0.001797655999993708,0.0013878219999980956,0.0031854779999918037,241,1192,False
43,219,1,0.001779608999996185,0.0016914960000065093,0.0034711050000026944,247,1204,False
44,1578,1,0.00199399100000619,0.001724228000000494,0.003718219000006684,255,1260,False
45,2319,1,0.002069598999995037,0.0017743429999939053,0.0038439419999889424,261,1270,False
46,2105,1,0.0022121049999981324,0.0018435940000074424,0.004055699000005575,269,1326,False
47,1002,1,0.0021478889999997364,0.001612582999996448,0.0037604719999961844,275,1336,False
48,2105,1,0.0020037310000020625,0.0018604739999972253,0.003864204999999288,283,1392,False
49,1002,1,0.0023204969999994773,0.002065162999997483,0.00438565999999696,289,1402,False
50,1357,1,0.002078714999996123,0.0017591019999940727,0.0038378169999901957,297,1458,False
51,744,1,0.0018554060000042227,0.0017652260000033948,0.0036206320000076175,303,1470,False
52,707,1,0.0022075729999926352,0.0022206129999915447,0.00442818599998418,311,1520,False
53,1995,1,0.00255354200000113,0.002282322000013437,0.004835864000014567,315,1524,False
54,1357,1,0.002036132999990059,0.0019999530000092136,0.004036085999999273,321,1564,False
55,1995,1,0.0020135620000019117,0.0017900520000040387,0.0038036140000059504,325,1570,False
56,1357,1,0.0023746399999993173,0.0018628199999994877,0.004237459999998805,331,1610,False
57,744,1,0.0027869529999975384,0.0021332519999930355,0.004920204999990574,337,1622,False
58,707,1,0.0023889309999987063,0.0021193660000022874,0.004508297000000994,345,1672,False
59,1995,1,0.0022244790000058856,0.0020671130000096127,0.004291592000015498,349,1676,False
60,1357,1,0.0021189290000052097,0.0020334769999976743,0.004152406000002884,355,1716,False
61,2284,1,0.0023072040000045035,0.00193706700000007,0.004244271000004574,357,1716,False
62,1882,1,0.002285997999990741,0.0018795840000080943,0.004165581999998835,361,1746,False
63,1995,1,0.0025996979999973746,0.0020856439999903387,0.004685341999987713,365,1754,False
64,1357,1,0.0024847459999932653,0.001957240999999499,0.004441986999992764,371,1794,False
65,1995,1,0.0022869229999997742,0.002293765000004555,0.004580688000004329,375,1800,False
66,2614,1,0.002342010000006667,0.002233830000008652,0.004575840000015319,381,1840,False
67,1837,1,0.002338149999999928,0.002362812000001213,0.004700962000001141,387,1852,False
68,395,1,0.002511812999998142,0.0022084630000023253,0.004720276000000467,395,1902,False
69,2245,1,0.0023406290000025365,0.00217356499999255,0.004514193999995086,401,1912,False
70,655,1,0.002679275000005532,0.0022386310000115373,0.004917906000017069,409,1962,False
71,2784,2468566648669221971614208763218021834310261005802093245180037902618116677350656617428330976921351628528289319064471/127005465184905841330547049413054125443108631209000250000000000000000000000000000000000000000000000000000000000000000,0.0027773380000013503,0.06230880200000399,0.06508614000000534,413,1968,False
72,1451,5423445933335262899216219429158201336476507637219527188924364490447650996332468714497611983289129183831397360784425819/622326779406038622519680542123965214671232292924101225000000000000000000000000000000000000000000000000000000000000000000,0.0025286799999975074,0.07133995499999912,0.07386863499999663,419,1992,False
73,937,14807589667795603577876490671715496765750564372914541865746206214076289917457324470290474479501915782390597038469/2540109303698116826610940988261082508862172624180005000000000000000000000000000000000000000000000000000000000000000,0.0027246690000026774,0.06679236499999774,0.06951703400000042,423,1998,False
74,1395,60343651249204107938853916285953521381993822294353521582102961158301662100515259594969816604306384301775475011017109/24893071176241544900787221684958608586849291716964049000000000000000000000000000000000000000000000000000000000000000000,0.0027471479999974235,0.07594237699998985,0.07868952499998727,429,2022,False
