Index,Observation,Risk,UnfTime,McTime,TotalTime,MdpStates,MdpTransitions,TimedOut
0,2766,1,0.00010536400009186764,7.60679999984859e-05,0.00018143200009035354,7,14,False
1,669,1,5.4624000085823354e-05,6.092000000990083e-05,0.00011554400009572419,11,22,False
2,1371,1,0.00011754800004837307,0.00015278000000762404,0.0002703280000559971,17,68,False
3,2223,1,0.00013331500008462172,0.00015618200006883853,0.00028949700015346025,23,80,False
4,1371,1,0.00027988099998310645,0.0002130410000518168,0.0004929220000349233,31,136,False
5,2223,1,0.00022870999998758634,0.00031307100005051325,0.0005417810000380996,39,152,False
6,1371,1,0.0002834919999941121,0.0002998129999696175,0.0005833049999637296,49,218,False
7,2223,1,0.0003085929999997461,0.0004215229999999792,0.0007301159999997253,57,232,False
8,1371,1,0.000552610999989156,0.0008605970000417074,0.0014132080000308633,67,298,False
9,1312,1,0.0006123549999301758,0.0008198840000659402,0.001432238999996116,77,318,False
10,1717,1,0.0009412400000883281,0.0006748510000988972,0.0016160910001872253,89,394,False
11,1434,1,0.0005895340000279248,0.0006001450000212571,0.001189679000049182,97,406,False
12,484,1,0.0007478679999621818,0.001014410000038879,0.0017622780000010607,107,472,False
13,1434,1,0.000955902999976388,0.000761670999963826,0.001717573999940214,115,486,False
14,688,1,0.00111796700002742,0.0007520100000419916,0.0018699770000694116,125,552,False
15,1265,1,0.0009052670000073704,0.0007505029999492763,0.0016557699999566466,135,572,False
16,2298,1,0.0009388519999902201,0.0007849610000221219,0.001723813000012342,147,648,False
17,2166,1,0.0009458989999302503,0.0008110170000463768,0.001756915999976627,155,660,False
18,2930,1,0.0010056300000087504,0.0009811220000983667,0.001986752000107117,165,726,False
19,2355,1,0.001193164000028446,0.0013162770000008095,0.0025094410000292555,173,740,False
20,2930,1,0.0016587860000072396,0.001244900999950005,0.0029036869999572446,183,806,False
21,2355,1,0.0016588259999252841,0.0011190750000196203,0.0027779009999449045,191,820,False
22,2192,1,0.0014093690000436254,0.0010430239999550395,0.002452392999998665,201,886,False
23,893,1,0.0012536420000515136,0.0010869630000343022,0.002340605000085816,211,906,False
24,305,1,0.0013435550000622243,0.0012458999999580556,0.00258945500002028,223,982,False
25,2692,1,0.0014806469999939509,0.001262639000060517,0.002743286000054468,231,994,False
26,602,1,0.001780746999997973,0.0013250350000362232,0.0031057820000341962,241,1060,False
27,2692,1,0.0018876890000001367,0.0013461290000122972,0.003233818000012434,249,1074,False
28,2273,1,0.0016979819999960455,0.0015094679999947402,0.0032074499999907857,259,1140,False
29,810,1,0.001928065000015522,0.0016159460000153558,0.0035440110000308778,267,1154,False
30,558,1,0.0018640580000237605,0.0014267610000615605,0.003290819000085321,277,1220,False
31,456,1,0.0018498959999533326,0.0016207789999498345,0.003470674999903167,287,1240,False
32,2382,1,0.0020084329999008332,0.0015871110000489352,0.0035955439999497685,299,1316,False
33,2168,1,0.0020214280000345752,0.0017266719999042834,0.0037480999999388587,307,1328,False
34,2018,1,0.0020582629999807978,0.0017194559999325065,0.0037777189999133043,317,1394,False
35,2871,1,0.0020443009999553396,0.002030871999977535,0.0040751729999328745,327,1414,False
36,1482,1,0.002061949999983881,0.0018348800000467236,0.0038968300000306044,339,1490,False
37,2168,1,0.0022408519999999044,0.0020554129999936777,0.004296264999993582,347,1502,False
38,2018,1,0.0023080749999735417,0.0018562789999805318,0.0041643539999540735,357,1568,False
39,1980,1,0.0022175999999944906,0.0024142450000681492,0.00463184500006264,367,1588,False
40,1942,1,0.0023146779999478895,0.001915759999974398,0.004230437999922287,379,1664,False
41,1980,1,0.002767049999988558,0.00202083900001071,0.004787888999999268,391,1688,False
42,1167,1,0.0024102250000623826,0.002386905999969713,0.0047971310000320955,405,1774,False
43,1062,1,0.002724292000038986,0.0024456370000507377,0.0051699290000897236,419,1802,False
44,939,1,0.00323609800000213,0.0023965750000343178,0.005632673000036448,435,1898,False
45,1552,1,0.0030347189999702096,0.002682721999917703,0.005717440999887913,449,1924,False
46,939,1,0.0030042519999824435,0.0026419160000159536,0.005646167999998397,465,2020,False
47,1362,1,0.0035441320000018095,0.0033347789999425004,0.00687891099994431,477,2040,False
48,2387,1,0.004594461000010597,0.0028219429999580825,0.007416403999968679,491,2126,False
49,2176,1,0.0039902899999333385,0.002707166000050165,0.006697455999983504,503,2150,False
50,1019,1,0.003948024000010264,0.0029573950000667537,0.006905419000077018,517,2230,False
51,948,38805204087378921129303301850161479940791427547682143181452538571087287330514953259063975840163909134877876104423910711101/3049401219089589250346434656407429551889038235328096002500000000000000000000000000000000000000000000000000000000000000000000,0.004031243999975231,0.1735348370000338,0.17756608100000904,529,2254,False
52,1418,2475753959806190178673821420958494959402098391392250299958795473663562855637499155859380140923055350501553764586367225236051/426916170672542495048500851897040137264465352945933440350000000000000000000000000000000000000000000000000000000000000000000000,0.004864194999981919,0.17450458899998011,0.17936878399996203,543,2318,False
53,1730,207505673411460908683514561660156409934938967154052485737587626927692472044558750781544550140501519677881898206546737475990391633/43193313704022525997084831658680133258611975532184228373619307500000000000000000000000000000000000000000000000000000000000000000000,0.0042955809999511985,0.16420519700000114,0.16850077799995233,553,2334,False
