Index,Observation,Risk,UnfTime,McTime,TotalTime,MdpStates,MdpTransitions,TimedOut
0,2766,1.0,8.654199996271927e-05,4.330199999458273e-05,0.000129843999957302,7,14,False
1,669,1.0,2.652199998465221e-05,3.389500000139378e-05,6.0416999986045994e-05,11,22,False
2,1371,1.0,3.311599994049175e-05,5.849700005455816e-05,9.16129999950499e-05,17,68,False
3,2223,1.0,3.7925000015093246e-05,4.767400002947397e-05,8.559900004456722e-05,23,80,False
4,1371,1.0,4.662100002406078e-05,4.789600006915862e-05,9.45170000932194e-05,31,136,False
5,2223,1.0,5.4022999961489404e-05,8.972699993137212e-05,0.00014374999989286152,39,152,False
6,1371,1.0,6.441699997594696e-05,5.0795999982256035e-05,0.000115212999958203,49,218,False
7,2223,1.0,7.050299996080867e-05,5.3815999990547425e-05,0.0001243189999513561,57,232,False
8,1371,1.0,8.062500000960426e-05,5.363100001432031e-05,0.00013425600002392457,67,298,False
9,68,1.0,8.983399993667263e-05,5.732199997510179e-05,0.00014715599991177442,77,318,False
10,1712,1.0,0.0001026259999434842,5.698999996184284e-05,0.00015961599990532704,89,394,False
11,1434,1.0,0.00010920600004737935,5.984900008115801e-05,0.00016905500012853736,97,406,False
12,688,1.0,0.00011864700002206519,5.952399999387126e-05,0.00017817100001593644,107,472,False
13,1265,1.0,0.00012598300008903607,8.68289999971239e-05,0.00021281200008615997,117,492,False
14,2298,1.0,0.0001625109999849883,6.602899998142675e-05,0.00022853999996641505,129,568,False
15,753,1.0,0.00015218099997582613,7.746699998278928e-05,0.0002296479999586154,139,586,False
16,2298,1.0,0.0003549760000396418,8.688699995218485e-05,0.00044186299999182665,151,662,False
17,1152,1.0,0.00019329700000980665,7.854899990888953e-05,0.0002718459999186962,163,686,False
18,2548,1.0,0.00018551499999830412,7.209000000329979e-05,0.0002576050000016039,177,772,False
19,1396,1.0,0.0002409029999626,7.72619999906965e-05,0.0003181649999532965,191,800,False
20,835,1.0,0.00021302599998307414,7.260400002451206e-05,0.0002856300000075862,207,896,False
21,2355,1.0,0.000349554000081298,8.550400002604874e-05,0.00043505800010734674,215,904,False
22,2192,1.0,0.0003246290000333829,0.00015469200002371508,0.000479321000057098,225,970,False
23,1568,1.0,0.0002810920000229089,9.18900000215217e-05,0.0003729820000444306,233,984,False
24,602,1.0,0.00043690000006790797,0.00010477799992258952,0.0005416779999904975,243,1050,False
25,2692,1.0,0.0003202010000222799,0.0001849159999665062,0.0005051169999887861,251,1064,False
26,2273,1.0,0.0003790550000530857,9.074900003724906e-05,0.00046980400009033474,261,1130,False
27,2866,1.0,0.0003855129999692508,9.516300008272083e-05,0.00048067600005197164,271,1150,False
28,677,1.0,0.000360615999966285,0.00010346499993829639,0.0004640809999045814,283,1226,False
29,2805,1.0,0.0003288130000100864,0.00010176000000683416,0.00043057300001692056,295,1250,False
30,1256,1.0,0.0003310900000315087,9.207799996602262e-05,0.0004231679999975313,309,1336,False
31,180,1.0,0.00040092000006097805,0.0001411550000511852,0.0005420750001121633,323,1364,False
32,671,1.0,0.0005519570000842577,0.00013163199992050068,0.0006835890000047584,339,1460,False
33,1359,1.0,0.0004909250000082466,0.00012656300009439292,0.0006174880001026395,353,1488,False
34,783,1.0,0.00042913400000088586,9.763299999576702e-05,0.0005267669999966529,369,1578,False
35,2871,1.0,0.0004005639999604682,0.00010638099990956107,0.0005069449998700293,381,1598,False
36,240,1.0,0.000569760000075803,0.00011652499995307153,0.0006862850000288745,395,1678,False
37,2811,1.0,0.00048335200006022205,0.0001459350000914128,0.0006292870001516349,401,1682,False
38,2311,1.0,0.0004567590000306154,0.00012566999998853134,0.0005824290000191468,409,1732,False
39,1062,1.0,0.000450706000037826,0.0001131640000266998,0.0005638700000645258,417,1748,False
40,240,1.0,0.0004964910000353484,0.00010374599992246658,0.000600236999957815,427,1808,False
41,2811,1.0,0.0004897830000345493,0.00011054300000523654,0.0006003260000397859,433,1816,False
42,2311,1.0,0.0004527090000010503,0.00010202699991168629,0.0005547359999127366,441,1866,False
43,1062,1.0,0.0004740240000273843,0.00012310900001466507,0.0005971330000420494,449,1882,False
44,240,1.0,0.0004783360000146786,0.00010647100009464339,0.000584807000109322,459,1942,False
45,1744,1.0,0.00048283399996762455,0.00011353799993685243,0.000596371999904477,467,1956,False
46,2159,1.0,0.0005340269999578595,0.00010682599997835496,0.0006408529999362145,477,2016,False
47,1860,0.005824271553060433,0.0005425720000857837,0.00041654200003904407,0.0009591140001248277,485,2032,False
