Index,Observation,Risk,UnfTime,McTime,TotalTime,MdpStates,MdpTransitions,TimedOut
0,967,0.0,4.654299993944733e-05,4.859099999521277e-05,9.51339999346601e-05,4,4,False
1,4325,0.0,2.0809999909943144e-05,3.254900002502836e-05,5.335899993497151e-05,5,6,False
2,432,0.0,2.3553999994874175e-05,3.159300001698284e-05,5.514700001185702e-05,9,15,False
3,9776,0.0,2.727599996887875e-05,3.135300005396857e-05,5.862900002284732e-05,13,23,False
4,967,0.0,3.122099997199257e-05,3.118799997992028e-05,6.240899995191285e-05,17,43,False
5,1757,0.0,3.362200004630722e-05,3.102599998783262e-05,6.464800003413984e-05,21,51,False
6,13116,0.0,3.737000008641189e-05,3.15070000169726e-05,6.887700010338449e-05,25,71,False
7,13439,0.0,4.073799993875582e-05,3.205999996680475e-05,7.279799990556057e-05,29,79,False
8,11244,0.0,4.40669999761667e-05,3.2764000025053974e-05,7.683100000122067e-05,33,99,False
9,13439,0.0,4.761200000302779e-05,3.261799997744674e-05,8.022999998047453e-05,37,107,False
10,11244,0.0,5.06769999901735e-05,3.226900003028277e-05,8.294600002045627e-05,41,127,False
11,13439,0.0,5.3565000030175725e-05,3.4279999908903847e-05,8.784499993907957e-05,45,135,False
12,11244,0.0,5.740999995396123e-05,3.235999997741601e-05,8.976999993137724e-05,49,155,False
13,1757,0.0,6.0509999912028434e-05,3.2966000048872957e-05,9.347599996090139e-05,53,163,False
14,13116,0.0,6.234399995719286e-05,3.292799999599083e-05,9.52719999531837e-05,57,183,False
15,9776,0.0,6.668100002116262e-05,3.275799997481954e-05,9.943899999598216e-05,61,191,False
16,967,0.0,7.10350000190374e-05,3.3654999924692675e-05,0.00010468999994373007,65,211,False
17,9776,0.0,7.329499999286782e-05,3.272499998274725e-05,0.00010601999997561506,69,219,False
18,967,0.0,7.643300000381714e-05,3.260699998008931e-05,0.00010903999998390645,73,239,False
19,4325,0.0,8.142299998326052e-05,3.3093999945776886e-05,0.00011451699992903741,77,247,False
20,432,0.0,8.466300005238736e-05,3.345200002513593e-05,0.00011811500007752329,81,267,False
21,9776,0.0,8.620799997061113e-05,3.3367000014550285e-05,0.00011957499998516141,85,275,False
22,967,0.0,9.007000005567534e-05,3.366600003573694e-05,0.00012373600009141228,89,295,False
23,9776,0.0,9.173399996598164e-05,3.4005999964392686e-05,0.00012573999993037432,93,303,False
24,6632,0.0,9.48780000271654e-05,3.3892999908857746e-05,0.00012877099993602314,95,309,False
25,10406,0.0,9.604900003523653e-05,3.44930000437671e-05,0.00013054200007900363,97,313,False
26,4236,0.0,9.65670000141472e-05,3.408800000670453e-05,0.00013065500002085173,99,319,False
27,16057,0.0,0.00015098799997304013,3.5147999938089924e-05,0.00018613599991113006,101,323,False
28,16703,0.0,0.00010010800008330989,3.394100008335954e-05,0.00013404900016666943,103,329,False
29,10712,0.0,0.0001013470000543748,3.473200001735677e-05,0.00013607900007173157,105,333,False
30,16703,0.0,0.00010554300001786032,3.4425000080773316e-05,0.00013996800009863364,109,346,False
31,10777,0.0,0.00010888699989664019,3.5203999914301676e-05,0.00014409099981094187,113,354,False
32,4842,0.0,0.00011154300000271178,3.568700003597769e-05,0.00014723000003868947,115,361,False
33,8066,0.0,0.00010987400003159564,3.502499998830899e-05,0.00014489900001990463,117,365,False
34,17435,0.0,0.00011347199995270785,3.5109999998894637e-05,0.00014858199995160248,119,371,False
35,4654,0.0,0.00011342800007696496,3.570900003069255e-05,0.00014913700010765751,121,375,False
36,9978,0.0,0.00011845400001675443,3.568500005712849e-05,0.00015413900007388293,123,381,False
37,7568,0.0,0.00011973499999839987,3.580400004921103e-05,0.0001555390000476109,125,385,False
38,12952,0.0,0.00012337900000147783,3.5782000054496166e-05,0.000159161000055974,129,397,False
39,1757,0.0,0.00012590099993303738,5.444700002499303e-05,0.00018034799995803041,133,405,False
40,13116,0.0,0.0002077369999824441,4.4184999978824635e-05,0.00025192199996126874,137,425,False
41,1757,0.0,0.0002453949999789984,7.503099993755313e-05,0.0003204259999165515,141,433,False
42,13116,0.0,0.0001958459999968909,4.996500001652748e-05,0.0002458110000134184,145,453,False
43,1757,0.0,0.00017338999998628424,4.516000001331122e-05,0.00021854999999959546,149,461,False
