Index,Observation,Risk,TrackTime,ReduceTime,TotalTime,NrBeliefsBR,NrBeliefsAR,Dimension,TimedOut
0,20398,0,4.534900017461041e-05,0.006544153000049846,0.006589502000224456,1,1,1,False
1,14730,0,1.5782999980729073e-05,0.0066151420001006045,0.0066309250000813336,1,1,1,False
2,15052,0,3.301099991404044e-05,0.0083784559999458,0.00841146699985984,2,2,4,False
3,55201,0,4.3214000015723286e-05,0.007465552999974534,0.007508766999990257,2,2,4,False
4,20398,0,0.00017097699992518756,0.008359510999980557,0.008530487999905745,5,4,4,False
5,53355,0,9.180999995805905e-05,0.00811560100009956,0.008207411000057618,4,4,4,False
6,14036,0,0.0005345790000319539,0.013169930999993085,0.013704510000025039,11,5,4,False
7,53355,0,0.00012004299992440792,0.007850489000020389,0.007970531999944797,5,5,4,False
8,14036,0,0.0007450440000411618,0.016709060000039244,0.017454104000080406,14,6,4,False
9,55201,0,0.00015412899983857642,0.008715262999885454,0.00886939199972403,6,6,4,False
10,20398,0,0.0009786139999050647,0.021160313000109454,0.02213892700001452,16,7,4,False
11,55201,0,0.00022536100004799664,0.01022021899984793,0.010445579999895926,7,7,4,False
12,20398,0,0.0012480919999688922,0.025648539000030723,0.026896630999999616,16,8,4,False
13,14730,0,0.00024109699984364852,0.011916939999991882,0.012158036999835531,8,8,4,False
14,15052,0,0.0014112500000464934,0.036525521999919874,0.03793677199996637,18,9,4,False
15,55201,0,0.0002864980001504591,0.014559658999814928,0.014846156999965388,9,9,4,False
16,20398,0,0.0016278969999348192,0.04132126399986191,0.04294916099979673,18,9,4,False
17,55201,0,0.00028859000008196745,0.015801090999957523,0.01608968100003949,9,9,4,False
18,20398,0,0.0015660499998375599,0.04282302900014656,0.04438907899998412,18,9,4,False
19,53355,0,0.00027901499993276957,0.018147664000025543,0.018426678999958312,9,9,4,False
20,14036,0,0.001606247999916377,0.058777559999953155,0.06038380799986953,18,9,4,False
21,55201,0,0.00027906600007554516,0.020783863999895402,0.021062929999970947,9,9,4,False
22,20398,0,0.0016089450000436045,0.05699155600018457,0.05860050100022818,18,9,4,False
23,14730,0,0.0002871710000817984,0.02303970599996319,0.023326877000044988,9,9,4,False
24,15052,0,0.0019286920000922692,0.07819058899985976,0.08011928099995203,18,9,4,False
25,55201,0,0.0003540000000157306,0.02391703100011,0.02427103100012573,9,9,4,False
26,20398,0,0.001630066999950941,0.06350717999998778,0.06513724699993872,18,9,4,False
27,53355,0,0.00028229500003362773,0.02454992200000561,0.024832217000039236,9,9,4,False
28,14036,0,0.0017304759999205999,0.08403242800000044,0.08576290399992104,18,9,4,False
29,53355,0,0.00029518599990296934,0.026258727000140425,0.026553913000043394,9,9,4,False
30,79218,0,0.0003563279999525548,0.010194533999992927,0.010550861999945482,9,2,2,False
31,57445,0,4.369899988887482e-05,0.006309517000090636,0.006353215999979511,2,2,2,False
32,79218,0,4.6692000069015194e-05,0.007066533000170239,0.007113225000239254,2,2,4,False
33,49405,0,4.101099989384238e-05,0.007001286000104301,0.007042296999998143,2,2,4,False
34,20994,0,0.00030745399999432266,0.01061254100000042,0.010919994999994742,8,4,4,False
35,49405,0,8.803100013210496e-05,0.007565530999954717,0.007653562000086822,4,4,4,False
36,20994,0,0.001231657000062114,0.025292864999983067,0.02652452200004518,20,5,4,False
37,74292,0,0.00012152099998274934,0.008322990000124264,0.008444511000107013,5,5,4,False
38,52804,0,0.0019959920000474085,0.03948022400004447,0.04147621600009188,26,6,4,False
39,74292,0,0.00023867300001256808,0.009268803000168191,0.009507476000180759,6,6,4,False
40,52804,0,0.0031217480000123032,0.062078103000203555,0.06519985100021586,32,7,4,False
41,74292,0,0.00019458800011307176,0.009549276000143436,0.009743864000256508,7,7,4,False
42,47749,0,0.0006442659998810996,0.022816554000200995,0.023460820000082094,25,3,3,False
43,91424,0,4.639999997380073e-05,0.006542892999959804,0.006589292999933605,3,3,3,False
44,60547,0,5.9863999922527e-05,0.006420470999955796,0.006480334999878323,1,1,4,False
45,91424,0,3.2901999929890735e-05,0.0068246040000303765,0.006857505999960267,1,1,4,False
46,60547,0,0.00028116900011809776,0.0063519529999211954,0.006633122000039293,1,1,4,False
47,92360,0,3.350800011503452e-05,0.006858825000108482,0.006892333000223516,1,1,4,False
48,7417,0,0.00023747600016577053,0.006553238999913447,0.006790715000079217,1,1,4,False
49,65482,0,3.151500004605623e-05,0.006443496000201776,0.006475011000247832,1,1,4,False
50,28298,0,0.0001245299999936833,0.007552996999947936,0.00767752699994162,7,3,3,False
51,13404,0,2.7400999897508882e-05,0.006438583999852199,0.006465984999749708,3,3,3,False
52,2516,0,3.111899991381506e-05,0.0066978269999253826,0.006728945999839198,3,3,3,False
53,30482,0,2.9743999903075746e-05,0.0065393300001233,0.006569074000026376,3,3,3,False
54,26950,0,3.101299989793915e-05,0.007298940000055154,0.007329952999953093,3,3,3,False
55,84487,0,3.193899988218618e-05,0.006663748999926611,0.006695687999808797,3,3,3,False
56,38739,0,5.8840000065174536e-05,0.00624521999998251,0.006304060000047684,1,1,4,False
57,51330,0,3.564200005712337e-05,0.006664839999984906,0.0067004820000420295,1,1,4,False
58,21180,0,0.00015973700010363245,0.007719441000062943,0.007879178000166576,7,3,3,False
59,58836,0,2.720100019359961e-05,0.0065656930000841385,0.006592894000277738,3,3,3,False
60,75319,0,3.198000013071578e-05,0.006949248999944757,0.006981229000075473,3,3,3,False
61,11826,0,3.173300001435564e-05,0.007390233000023727,0.007421966000038083,3,3,3,False
62,75319,0,5.827300014971115e-05,0.006596565999871018,0.006654839000020729,1,1,4,False
63,25776,0,3.445599986662273e-05,0.006750735999958124,0.006785191999824747,1,1,4,False
64,3178,0,0.00026380200006315135,0.006637537999949927,0.006901340000013079,1,1,4,False
65,25776,0,3.351100008330832e-05,0.006585395999991306,0.006618907000074614,1,1,4,False
66,49184,0,0.0001309510000737646,0.008499278000044796,0.008630229000118561,7,3,3,False
67,70000,0,2.8725999982270878e-05,0.007018726000069364,0.007047452000051635,3,3,3,False
68,83636,0,6.042800009709026e-05,0.006869843000004039,0.006930271000101129,1,1,4,False
69,32677,0,3.689899995151791e-05,0.006852627999933247,0.006889526999884765,1,1,4,False
70,92990,0,0.0001351019998310221,0.008615782000106265,0.008750883999937287,7,3,3,False
71,25332,0,3.043100014110678e-05,0.0071433400000842084,0.007173771000225315,3,3,3,False
72,22524,27651/12800000,3.5251999861429795e-05,0.008008818000007523,0.008044069999868952,3,3,3,False
73,12736,38123/8000000,3.376099994056858e-05,0.007533666000199446,0.007567427000140015,3,3,3,False
74,15736,4906367/256000000,3.5917000104745966e-05,0.0066853360001459805,0.0067212530002507265,3,3,3,False
75,35818,80913/2000000,2.9379000125118182e-05,0.006989723000060621,0.00701910200018574,3,3,3,False
76,84849,8413203/128000000,3.9580000020578154e-05,0.006929670999852533,0.006969250999873111,3,3,3,False
77,79968,80913/2000000,2.9424999866023427e-05,0.0064592979999815725,0.006488722999847596,3,3,3,False
78,14845,12411393/1310720000,6.445500002882909e-05,0.006057165999891367,0.0061216209999201965,1,1,4,False
79,53148,420628883/13107200000,3.444499998295214e-05,0.005935335999993185,0.0059697809999761375,1,1,4,False
80,4224,920837379/32768000000,0.0002578640001047461,0.0060092389999226725,0.006267103000027419,1,1,4,False
81,79968,972744141/65536000000,6.725499997628503e-05,0.006192609999970955,0.00625986499994724,1,1,4,False
82,85525,1315881/1638400000,0.0001339969999207824,0.007542710000052466,0.0076767069999732485,7,3,3,False
83,45204,20660323/3276800000,2.662699989741668e-05,0.006762260999948921,0.006788887999846338,3,3,3,False
84,68751,1315881/1638400000,3.360300001986616e-05,0.006359639000038442,0.006393242000058308,3,3,3,False
85,90268,62043/163840000,2.5424999876122456e-05,0.006367081999997026,0.006392506999873149,3,3,3,False
86,23207,1263/4096000000,3.152899989800062e-05,0.006619702000079997,0.006651230999977997,3,3,3,False
87,13591,0,2.850800001397147e-05,0.006877810000105455,0.006906318000119427,3,3,3,False
88,82602,0,3.2591000035608886e-05,0.006950799999913215,0.006983390999948824,3,3,3,False
89,82692,0,3.0335000019476865e-05,0.007223925000062081,0.007254260000081558,3,3,3,False
90,61378,0,6.344500002342102e-05,0.006638553000129832,0.006701998000153253,1,1,4,False
91,86851,0,3.5658000115290633e-05,0.007359955999845624,0.007395613999960915,1,1,4,False
92,41272,0,0.00012061699999321718,0.007687154999985069,0.007807771999978286,7,3,3,False
93,46579,0,2.7096999929199228e-05,0.0069386630000281,0.0069657599999572994,3,3,3,False
94,19380,0,2.98170000405662e-05,0.006650438999940889,0.006680255999981455,2,2,2,False
95,27887,0,2.1120000155860907e-05,0.006257881999999881,0.006279002000155742,2,2,2,False
96,42011,0,2.122499995493854e-05,0.006128771000021516,0.006149995999976454,1,1,1,False
97,89750,0,1.5286999996533268e-05,0.005944336000084149,0.005959623000080683,1,1,1,False
98,2428,0,1.6591000076005002e-05,0.006116376999898421,0.006132967999974426,1,1,1,False
99,17413,0,1.4837999970040983e-05,0.005897267000136708,0.005912105000106749,1,1,1,False
100,37797,0,3.078800000366755e-05,0.0060801300001003256,0.006110918000103993,2,2,4,False
