Index,Observation,Risk,TrackTime,ReduceTime,TotalTime,NrBeliefsBR,NrBeliefsAR,Dimension,TimedOut
0,20398,0,0.004898328000081165,1.2180000794614898e-06,0.004899546000160626,1,1,1,False
1,14730,0,1.2152999943282339e-05,3.812399995695159e-05,5.027699990023393e-05,1,1,1,False
2,27599,0,1.7576000118424417e-05,1.0989999736921163e-06,1.8675000092116534e-05,1,1,1,False
3,53398,0,3.3918999861271004e-05,8.550000529794488e-07,3.477399991425045e-05,1,1,1,False
4,65468,0,1.202599992211617e-05,7.799999366397969e-07,1.2805999858755968e-05,1,1,1,False
5,91747,0,9.859999863692792e-06,7.569999525003368e-07,1.0616999816193129e-05,1,1,1,False
6,82403,0,1.0394999890195322e-05,7.120002010196913e-07,1.1107000091215014e-05,1,1,1,False
7,48720,0,1.4467000028162147e-05,8.380000053875847e-07,1.530500003354973e-05,1,1,1,False
8,69915,0,1.1981999932686449e-05,7.31999989511678e-07,1.2713999922198127e-05,1,1,1,False
9,56373,0,9.711999837236363e-06,6.899999789311551e-07,1.0401999816167518e-05,1,1,1,False
10,72128,0,1.105799992728862e-05,2.6893000040217885e-05,3.7950999967506505e-05,1,1,1,False
11,36875,0,9.186999932353501e-06,6.940001640032278e-07,9.881000096356729e-06,1,1,1,False
12,51342,0,2.3917000135043054e-05,6.639997991442215e-07,2.4580999934187275e-05,2,2,4,False
13,47901,0,3.0369999876711518e-05,6.660000053670956e-07,3.103599988207861e-05,2,2,4,False
14,11518,0,6.409700017684372e-05,7.340001957345521e-07,6.483100037257827e-05,3,3,2,False
15,43402,0,2.3643000076845055e-05,7.279998044396052e-07,2.437099988128466e-05,3,3,2,False
16,20907,837/400000,3.588499998841144e-05,7.490000371035421e-07,3.663400002551498e-05,3,3,2,False
17,45862,0,2.304600002389634e-05,7.099999947968172e-07,2.3756000018693157e-05,3,3,2,False
18,61081,837/400000,3.526100022099854e-05,7.199998890428105e-07,3.598100011004135e-05,3,3,2,False
19,84288,77/20000,2.435500005049107e-05,6.880000000819564e-07,2.5043000050573028e-05,3,3,2,False
20,76012,2181973/3276800000,8.668000009492971e-05,7.400001322821481e-07,8.742000022721186e-05,3,3,4,False
21,57564,178147599/32768000000,5.233700017015508e-05,7.480000476789428e-07,5.308500021783402e-05,3,3,4,False
22,45512,162858751/32768000000,0.0006454110000504443,8.530000741302501e-07,0.0006462640001245745,13,13,4,False
23,45146,91/50000,0.0004572900002131064,8.100000741251279e-07,0.0004581000002872315,13,13,4,False
24,11854,27651/12800000,0.0006526070001200424,7.989999630808597e-07,0.0006534060000831232,7,7,2,False
25,45862,0,8.922799997890252e-05,7.209998784674099e-07,8.994899985736993e-05,7,7,2,False
26,84358,0,0.00032881000015549944,7.500000265281415e-07,0.0003295600001820276,7,7,4,False
27,28268,0,0.00017180400004690455,8.009999419300584e-07,0.0001726049999888346,7,7,4,False
28,82205,0,0.0038698319999639352,1.26400004774041e-06,0.0038710960000116756,38,38,4,False
29,45862,0,0.003205111999932342,1.247000000148546e-06,0.0032063589999324904,38,38,4,False
30,84358,0,0.10610559699989608,1.7719999050314073e-06,0.10610736899980111,210,210,4,False
31,28268,0,0.08444931000008182,1.8409998574497877e-06,0.08445115099993927,210,210,4,False
32,82205,0,0,0,0,0,0,0,True
