Index,Observation,Risk,TrackTime,ReduceTime,TotalTime,NrBeliefsBR,NrBeliefsAR,Dimension,TimedOut
0,130,701461/2000000,2.1880999980794513e-05,0.006798236000008728,0.006820116999989523,1,1,1,False
1,17,304597/800000,2.0000000006348273e-05,0.007004766999983758,0.007024766999990106,1,1,1,False
2,130,7758/15625,4.020399998694302e-05,0.0070380020000015975,0.0070782059999885405,2,2,2,False
3,93,1782263/4000000,5.96799999925679e-05,0.007554535999986456,0.007614215999979024,2,2,2,False
4,96,57651479/100000000,0.00030161199998701704,0.014601168000012876,0.014902779999999893,14,7,4,False
5,93,60493241/100000000,0.00012363300001538846,0.008852880999995705,0.008976514000011093,7,7,4,False
6,482,2654761/4000000,0.0015209109999716475,0.007008042999984809,0.008528953999956457,1,1,1,False
7,277,5492449/8000000,1.8895000010843432e-05,0.006857679000006556,0.006876574000017399,1,1,1,False
8,106,10492771/12800000,2.1708000019771134e-05,0.006674377999985381,0.0066960860000051525,1,1,1,False
9,669,27715301/32000000,1.8541999992294222e-05,0.006724411000021746,0.00674295300001404,1,1,1,False
10,264,44517591/64000000,2.222800000595271e-05,0.006672876999999744,0.006695105000005697,1,1,1,False
11,219,47182139/64000000,1.755400001002272e-05,0.0067180050000104075,0.00673555900002043,1,1,1,False
12,264,237598471/320000000,5.272900000363734e-05,0.00700946599999952,0.0070621950000031575,3,3,3,False
13,93,252634291/320000000,4.361000000585591e-05,0.007153246000001445,0.007196856000007301,3,3,3,False
14,740,57859837/64000000,7.050599998592588e-05,0.0068683129999840276,0.0069388189999699534,1,1,1,False
15,495,58708169/64000000,1.8963000002258923e-05,0.0067277489999924,0.006746711999994659,1,1,1,False
16,96,24925621/32000000,2.2243999978854845e-05,0.007153082000002087,0.0071753259999809416,1,1,1,False
17,219,3144967/4000000,1.8709999977772895e-05,0.0068304109999814955,0.006849120999959268,1,1,1,False
18,264,2413511/3200000,0.0001131340000029013,0.007926032000000305,0.008039166000003206,3,3,3,False
19,45,248460027/320000000,4.4549999984155875e-05,0.007530734999988908,0.007575284999973064,3,3,3,False
20,68,1203002871/1600000000,0.0006271309999874575,0.023407878000000437,0.024035008999987895,25,6,4,False
21,45,1254849467/1600000000,0.00010498599999664293,0.00858482000001004,0.008689806000006683,6,6,4,False
22,68,6030024871/8000000000,0.058569365000010976,1.0200779989999944,1.0786473640000054,302,197,5,True
