Index,Observation,Risk,TrackTime,ReduceTime,TotalTime,NrBeliefsBR,NrBeliefsAR,Dimension,TimedOut
0,130,701461/2000000,0.012935064999993529,2.300000005561742e-06,0.01293736499999909,1,1,1,False
1,385,3620047/8000000,1.3830000000325526e-05,8.600000001024455e-07,1.4690000000427972e-05,1,1,1,False
2,28,3522921/8000000,2.5391999997737003e-05,7.189999990941942e-07,2.6110999996831197e-05,1,1,1,False
3,219,3046413/8000000,9.890000001178123e-06,6.810000030554875e-07,1.057100000423361e-05,1,1,1,False
4,264,40236229/80000000,2.7509000005920825e-05,6.730000023935645e-07,2.818200000831439e-05,2,2,2,False
5,93,1782669/4000000,1.983100000302329e-05,7.200000027296483e-07,2.055100000575294e-05,2,2,2,False
6,96,57778581/100000000,0.00026450900000440924,7.979999878671151e-07,0.00026530699999227636,14,14,4,False
7,345,8961177/16000000,8.548299999233677e-05,8.320000119965698e-07,8.631500000433334e-05,1,1,1,False
8,276,2154393/4000000,2.2923000003061134e-05,7.510000017418861e-07,2.367400000480302e-05,1,1,1,False
9,118,22368751/32000000,9.097000003066569e-06,6.920000004129179e-07,9.789000003479487e-06,1,1,1,False
10,304,20997963/32000000,2.195800000492909e-05,7.440000047154172e-07,2.2702000009644507e-05,1,1,1,False
11,345,8961177/16000000,8.886000003371919e-06,6.639999980961875e-07,9.550000001468106e-06,1,1,1,False
12,152,9088069/12800000,4.087800000718289e-05,7.550000020728476e-07,4.163300000925574e-05,1,1,1,False
13,302,26346759/32000000,9.039999994797654e-06,7.149999987632327e-07,9.754999993560887e-06,1,1,1,False
14,662,25924749/32000000,2.155199999265278e-05,7.550000020728476e-07,2.230699999472563e-05,1,1,1,False
15,583,58790701/64000000,8.979000000408632e-06,6.86000007021903e-07,9.665000007430535e-06,1,1,1,False
16,635,1898243/2000000,1.173900000139838e-05,6.900000073528645e-07,1.2429000008751245e-05,1,1,1,False
17,48,11816889/12800000,9.214000002089051e-06,6.659999911562409e-07,9.879999993245292e-06,1,1,1,False
18,272,61591881/64000000,1.1505000003353416e-05,6.890000037174104e-07,1.2194000007070827e-05,1,1,1,False
19,344,61442033/64000000,9.001000009334348e-06,6.58999994129772e-07,9.66000000346412e-06,1,1,1,False
20,526,57378769/64000000,1.1663999998745567e-05,7.109999984322712e-07,1.2374999997177838e-05,1,1,1,False
21,317,1381413/1600000,1.4789000005066555e-05,8.580000070423921e-07,1.5647000012108947e-05,1,1,1,False
22,249,29487823/32000000,3.5021000002188885e-05,7.360000040534942e-07,3.575700000624238e-05,1,1,1,False
23,656,59217281/64000000,9.845999997537547e-06,7.029999977703483e-07,1.0548999995307895e-05,1,1,1,False
24,360,58945161/64000000,9.128499999633277e-05,8.880000024191759e-07,9.217299999875195e-05,1,1,1,False
25,691,58338707/64000000,4.3183000002500194e-05,2.4069999966513933e-06,4.558999999915159e-05,1,1,1,False
26,675,56537019/64000000,3.086999998913598e-05,7.050000050412564e-07,3.157499999417723e-05,1,1,1,False
27,656,59217281/64000000,9.626999997180974e-06,7.719999928212928e-07,1.0398999990002267e-05,1,1,1,False
28,360,58945161/64000000,2.14340000042057e-05,7.029999977703483e-07,2.2137000001976048e-05,1,1,1,False
29,691,58338707/64000000,9.632999990571989e-06,6.839999997509949e-07,1.0316999990322984e-05,1,1,1,False
30,827,3065319/3200000,1.2040999990858836e-05,7.060000086767104e-07,1.2746999999535547e-05,1,1,1,False
31,200,61834103/64000000,8.82700000204295e-06,6.719999987581105e-07,9.499000000801061e-06,1,1,1,False
32,695,15736999/16000000,1.14659999894684e-05,6.69000002062603e-07,1.2134999991531004e-05,1,1,1,False
33,554,7834411/8000000,9.194999989858843e-06,6.409999997458726e-07,9.835999989604716e-06,1,1,1,False
34,196,61296971/64000000,1.139799999805291e-05,7.209999921542476e-07,1.2118999990207158e-05,1,1,1,False
35,120,3091389/3200000,8.653000008962408e-06,6.740000060290186e-07,9.327000014991427e-06,1,1,1,False
36,99,311351/320000,2.119299999492341e-05,6.650000017316415e-07,2.1857999996655053e-05,1,1,1,False
37,200,61834103/64000000,8.655999991447061e-06,7.170000060341408e-07,9.372999997481202e-06,1,1,1,False
38,725,61364431/64000000,1.1283999995725935e-05,6.619999908252794e-07,1.1945999986551215e-05,1,1,1,False
39,894,62207043/64000000,9.062999993147969e-06,7.109999984322712e-07,9.77399999158024e-06,1,1,1,False
40,492,31604087/32000000,1.1099000005287962e-05,6.69000002062603e-07,1.1768000007350565e-05,1,1,1,False
41,298,1,8.797999996090766e-06,6.529999865279024e-07,9.450999982618669e-06,1,1,1,False
42,298,1,8.304999994379614e-06,6.7800000635998e-07,8.983000000739594e-06,1,1,1,False
43,298,1,1.3551999998639985e-05,8.260000043947002e-07,1.4378000003034686e-05,1,1,1,False
44,298,1,9.610000006432529e-06,7.470000014109246e-07,1.0357000007843453e-05,1,1,1,False
45,298,1,8.764000000383021e-06,7.400000043844557e-07,9.504000004767477e-06,1,1,1,False
46,298,1,8.704000009629453e-06,7.200000027296483e-07,9.424000012359102e-06,1,1,1,False
47,298,1,8.678000000372776e-06,7.089999911613631e-07,9.38699999153414e-06,1,1,1,False
48,298,1,8.28599999636026e-06,6.890000037174104e-07,8.975000000077671e-06,1,1,1,False
49,298,1,8.286999999995714e-06,7.070000123121645e-07,8.994000012307879e-06,1,1,1,False
50,298,1,8.432000001334927e-06,6.77000002724526e-07,9.109000004059453e-06,1,1,1,False
51,298,1,8.402999995382743e-06,7.56999995132901e-07,9.159999990515644e-06,1,1,1,False
52,298,1,8.339999993722813e-06,6.500000040432496e-07,8.989999997766063e-06,1,1,1,False
53,298,1,8.249999993381607e-06,6.949999971084253e-07,8.944999990490032e-06,1,1,1,False
54,298,1,8.359000005953021e-06,6.869999964465023e-07,9.046000002399524e-06,1,1,1,False
55,298,1,8.286000010571115e-06,6.849999891755942e-07,8.97099999974671e-06,1,1,1,False
56,298,1,8.151999992378478e-06,6.6100000140068e-07,8.812999993779158e-06,1,1,1,False
57,298,1,8.167000004277725e-06,6.920000004129179e-07,8.859000004690643e-06,1,1,1,False
58,298,1,8.2119999973429e-06,6.639999980961875e-07,8.875999995439088e-06,1,1,1,False
59,298,1,8.230999995362254e-06,7.099999947968172e-07,8.940999990159071e-06,1,1,1,False
60,298,1,8.192999999323547e-06,7.219999957897016e-07,8.914999995113249e-06,1,1,1,False
61,298,1,8.179999994695208e-06,6.660000053670956e-07,8.846000000062304e-06,1,1,1,False
62,298,1,8.171999994033285e-06,6.829999961155409e-07,8.854999990148826e-06,1,1,1,False
63,298,1,8.352999998351152e-06,6.580000047051726e-07,9.011000003056324e-06,1,1,1,False
64,298,1,8.047000008559735e-06,6.749999954536179e-07,8.722000004013353e-06,1,1,1,False
65,298,1,8.176000008575102e-06,6.890000037174104e-07,8.865000012292512e-06,1,1,1,False
66,298,1,8.213999990402954e-06,6.810000030554875e-07,8.894999993458441e-06,1,1,1,False
67,298,1,8.27000000924727e-06,6.889999895065557e-07,8.958999998753825e-06,1,1,1,False
68,298,1,8.121999997001694e-06,6.730000023935645e-07,8.794999999395259e-06,1,1,1,False
69,298,1,8.188999998992585e-06,6.930000040483719e-07,8.882000003040957e-06,1,1,1,False
70,298,1,8.20099999998547e-06,6.85000003386449e-07,8.886000003371919e-06,1,1,1,False
71,298,1,8.393000001660766e-06,6.659999911562409e-07,9.058999992817007e-06,1,1,1,False
72,298,1,8.196000010229909e-06,6.880000000819564e-07,8.884000010311865e-06,1,1,1,False
73,298,1,8.198999992714562e-06,6.59999997765226e-07,8.858999990479788e-06,1,1,1,False
74,298,1,8.203000007256378e-06,6.660000053670956e-07,8.869000012623474e-06,1,1,1,False
75,298,1,8.264999991069999e-06,6.809999888446328e-07,8.945999979914632e-06,1,1,1,False
76,298,1,8.110999999644264e-06,7.390000007490016e-07,8.850000000393266e-06,1,1,1,False
77,298,1,8.139999991385594e-06,6.94000007683826e-07,8.83399999906942e-06,1,1,1,False
78,298,1,8.2129999867675e-06,7.130000057031793e-07,8.925999992470679e-06,1,1,1,False
79,298,1,8.265000005280854e-06,6.869999964465023e-07,8.952000001727356e-06,1,1,1,False
80,298,1,8.149000009893825e-06,7.010000047102949e-07,8.85000001460412e-06,1,1,1,False
81,298,1,8.308999994710575e-06,6.749999954536179e-07,8.983999990164193e-06,1,1,1,False
82,298,1,8.23599999932867e-06,6.709999951226564e-07,8.906999994451326e-06,1,1,1,False
83,298,1,8.33199999306089e-06,6.670000090025496e-07,8.99900000206344e-06,1,1,1,False
84,298,1,8.167000004277725e-06,6.570000010697186e-07,8.824000005347443e-06,1,1,1,False
85,298,1,8.038999993686957e-06,6.739999918181638e-07,8.712999985505121e-06,1,1,1,False
86,298,1,8.31399999867699e-06,7.129999914923246e-07,9.026999990169315e-06,1,1,1,False
87,298,1,8.160999996675855e-06,6.820000066909415e-07,8.843000003366797e-06,1,1,1,False
88,298,1,8.224999987760384e-06,7.069999981013098e-07,8.931999985861694e-06,1,1,1,False
89,298,1,8.051999998315296e-06,6.85000003386449e-07,8.737000001701745e-06,1,1,1,False
90,298,1,8.151999992378478e-06,6.930000040483719e-07,8.84499999642685e-06,1,1,1,False
91,298,1,8.255000011558877e-06,6.580000047051726e-07,8.91300001626405e-06,1,1,1,False
92,298,1,8.221000001640277e-06,6.739999918181638e-07,8.894999993458441e-06,1,1,1,False
93,298,1,8.14400000592741e-06,6.539999901633564e-07,8.797999996090766e-06,1,1,1,False
94,298,1,8.16600000064227e-06,7.010000047102949e-07,8.867000005352565e-06,1,1,1,False
95,298,1,8.1949999923836e-06,6.960000007438794e-07,8.89099999312748e-06,1,1,1,False
96,298,1,8.062999995672726e-06,6.639999980961875e-07,8.726999993768914e-06,1,1,1,False
97,298,1,8.104000002617795e-06,7.050000050412564e-07,8.809000007659051e-06,1,1,1,False
98,298,1,8.110999999644264e-06,6.69000002062603e-07,8.780000001706867e-06,1,1,1,False
99,298,1,8.245999993050646e-06,7.020000083457489e-07,8.948000001396395e-06,1,1,1,False
100,298,1,8.108000002948756e-06,6.669999947916949e-07,8.774999997740451e-06,1,1,1,False
101,298,1,8.153000010224787e-06,6.839999997509949e-07,8.837000009975782e-06,1,1,1,False
102,298,1,8.152000006589333e-06,6.620000050361341e-07,8.814000011625467e-06,1,1,1,False
103,298,1,8.241000003295085e-06,6.700000056980571e-07,8.911000008993142e-06,1,1,1,False
104,298,1,8.11600000361068e-06,6.820000066909415e-07,8.798000010301621e-06,1,1,1,False
105,298,1,8.17299999766874e-06,7.280000033915712e-07,8.90100000106031e-06,1,1,1,False
106,298,1,8.012999998641135e-06,6.669999947916949e-07,8.67999999343283e-06,1,1,1,False
107,298,1,8.252999990077114e-06,6.69000002062603e-07,8.921999992139718e-06,1,1,1,False
108,298,1,8.169000011548633e-06,6.759999990890719e-07,8.845000010637705e-06,1,1,1,False
109,298,1,8.041000000957865e-06,6.890000037174104e-07,8.730000004675276e-06,1,1,1,False
110,298,1,3.1522000000450134e-05,8.819999948173063e-07,3.240399999526744e-05,1,1,1,False
111,298,1,1.083899999798632e-05,7.069999981013098e-07,1.154599999608763e-05,1,1,1,False
112,298,1,8.99900000206344e-06,6.829999961155409e-07,9.68199999817898e-06,1,1,1,False
113,298,1,8.491999992088495e-06,7.249999924852091e-07,9.216999984573704e-06,1,1,1,False
114,298,1,8.21800000494477e-06,6.620000050361341e-07,8.880000009980904e-06,1,1,1,False
115,298,1,8.272000002307323e-06,6.880000000819564e-07,8.960000002389279e-06,1,1,1,False
116,298,1,8.252000000652515e-06,6.810000030554875e-07,8.933000003708003e-06,1,1,1,False
117,298,1,8.12099999336624e-06,6.630000086715881e-07,8.784000002037828e-06,1,1,1,False
118,298,1,8.000000008223651e-06,6.670000090025496e-07,8.6670000172262e-06,1,1,1,False
119,298,1,8.284000003300207e-06,6.909999967774638e-07,8.975000000077671e-06,1,1,1,False
120,298,1,8.298999986777744e-06,6.749999954536179e-07,8.973999982231362e-06,1,1,1,False
121,298,1,8.248999989746153e-06,6.450000000768341e-07,8.893999989822987e-06,1,1,1,False
122,298,1,8.221000001640277e-06,6.490000004077956e-07,8.870000002048073e-06,1,1,1,False
123,298,1,8.367999996039543e-06,6.759999990890719e-07,9.043999995128615e-06,1,1,1,False
124,298,1,8.389000001329805e-06,6.559999974342645e-07,9.04499999876407e-06,1,1,1,False
125,298,1,8.265000005280854e-06,6.560000116451192e-07,8.921000016925973e-06,1,1,1,False
126,298,1,8.203999996680977e-06,6.550000080096652e-07,8.859000004690643e-06,1,1,1,False
127,298,1,9.703999992893841e-06,7.009999904994402e-07,1.0404999983393282e-05,1,1,1,False
128,298,1,8.42900000463942e-06,6.559999974342645e-07,9.085000002073684e-06,1,1,1,False
129,298,1,8.255000011558877e-06,6.479999967723415e-07,8.903000008331219e-06,1,1,1,False
130,298,1,8.2460000072615e-06,6.789999957845794e-07,8.92500000304608e-06,1,1,1,False
131,298,1,8.234000006268616e-06,6.460000037122882e-07,8.880000009980904e-06,1,1,1,False
132,298,1,8.536999999364525e-06,6.979999938039327e-07,9.234999993168458e-06,1,1,1,False
133,298,1,8.30900000892143e-06,6.720000129689652e-07,8.981000021890395e-06,1,1,1,False
134,298,1,8.140999995021048e-06,6.960000007438794e-07,8.836999995764927e-06,1,1,1,False
135,298,1,8.431999987124073e-06,6.909999967774638e-07,9.122999983901536e-06,1,1,1,False
136,298,1,8.273999995367376e-06,6.629999944607334e-07,8.93699998982811e-06,1,1,1,False
137,298,1,8.219999998004823e-06,6.69000002062603e-07,8.889000000067426e-06,1,1,1,False
138,298,1,8.13199999072367e-06,6.759999990890719e-07,8.807999989812743e-06,1,1,1,False
139,298,1,8.258999997678984e-06,6.570000010697186e-07,8.915999998748703e-06,1,1,1,False
140,298,1,2.4675000005913716e-05,7.200000027296483e-07,2.5395000008643365e-05,1,1,1,False
141,298,1,8.460000003651658e-06,6.849999891755942e-07,9.144999992827252e-06,1,1,1,False
142,298,1,8.445999995387865e-06,6.730000023935645e-07,9.11899999778143e-06,1,1,1,False
143,298,1,8.370999992735051e-06,6.709999951226564e-07,9.041999987857707e-06,1,1,1,False
144,298,1,8.530000002338056e-06,6.980000080147875e-07,9.228000010352844e-06,1,1,1,False
145,298,1,8.73599999806629e-06,6.810000030554875e-07,9.417000001121778e-06,1,1,1,False
146,298,1,8.367999996039543e-06,7.050000050412564e-07,9.0730000010808e-06,1,1,1,False
147,298,1,8.407999999349158e-06,6.699999914872024e-07,9.07799999083636e-06,1,1,1,False
148,298,1,8.473999997704595e-06,6.930000040483719e-07,9.167000001752967e-06,1,1,1,False
149,298,1,8.410000006620066e-06,6.77000002724526e-07,9.087000009344592e-06,1,1,1,False
150,298,1,8.535000006304472e-06,6.949999971084253e-07,9.230000003412897e-06,1,1,1,False
151,298,1,8.471000001009088e-06,6.58999994129772e-07,9.12999999513886e-06,1,1,1,False
152,298,1,8.452000002989735e-06,6.59999997765226e-07,9.11200000075496e-06,1,1,1,False
153,298,1,8.532999999033564e-06,6.51999997103303e-07,9.184999996136867e-06,1,1,1,False
154,298,1,8.368000010250398e-06,6.869999964465023e-07,9.0550000066969e-06,1,1,1,False
155,298,1,8.308999994710575e-06,6.970000043793334e-07,9.005999999089909e-06,1,1,1,False
156,298,1,8.523999994736187e-06,7.189999990941942e-07,9.24299999383038e-06,1,1,1,False
157,298,1,8.368999999674998e-06,6.920000004129179e-07,9.061000000087915e-06,1,1,1,False
158,298,1,8.42299999703755e-06,6.6100000140068e-07,9.08399999843823e-06,1,1,1,False
159,298,1,8.416000000011081e-06,6.789999957845794e-07,9.09499999579566e-06,1,1,1,False
160,298,1,8.515000004649664e-06,7.149999987632327e-07,9.230000003412897e-06,1,1,1,False
161,298,1,8.395999998356274e-06,6.839999997509949e-07,9.079999998107269e-06,1,1,1,False
162,298,1,8.429999994064019e-06,6.730000023935645e-07,9.102999996457584e-06,1,1,1,False
163,298,1,8.48599999869748e-06,6.740000060290186e-07,9.160000004726498e-06,1,1,1,False
164,298,1,8.506000000352287e-06,7.200000027296483e-07,9.226000003081936e-06,1,1,1,False
165,298,1,8.351999994715698e-06,6.920000004129179e-07,9.043999995128615e-06,1,1,1,False
166,298,1,8.326999989094475e-06,6.719999987581105e-07,8.998999987852585e-06,1,1,1,False
167,298,1,8.554000004323825e-06,6.660000053670956e-07,9.22000000969092e-06,1,1,1,False
168,298,1,8.463000000347165e-06,7.23999988849755e-07,9.18699998919692e-06,1,1,1,False
169,298,1,8.504000007292234e-06,6.900000073528645e-07,9.194000014645098e-06,1,1,1,False
170,298,1,8.311999991406083e-06,6.600000119760807e-07,8.972000003382163e-06,1,1,1,False
171,298,1,8.379999997032428e-06,6.620000050361341e-07,9.042000002068562e-06,1,1,1,False
172,298,1,8.484999995062026e-06,6.7800000635998e-07,9.163000001422006e-06,1,1,1,False
173,298,1,8.432999990759527e-06,6.960000007438794e-07,9.128999991503406e-06,1,1,1,False
174,298,1,8.355999995046659e-06,6.920000004129179e-07,9.047999995459577e-06,1,1,1,False
175,298,1,8.44000000199685e-06,6.749999954536179e-07,9.114999997450468e-06,1,1,1,False
176,298,1,8.398000005627182e-06,7.149999987632327e-07,9.113000004390415e-06,1,1,1,False
177,298,1,8.38300000793879e-06,7.100000090076719e-07,9.093000016946462e-06,1,1,1,False
178,298,1,8.649999998056046e-06,6.890000037174104e-07,9.339000001773456e-06,1,1,1,False
179,298,1,8.54800001093281e-06,6.789999957845794e-07,9.22700000671739e-06,1,1,1,False
180,298,1,8.428000001003966e-06,6.7800000635998e-07,9.106000007363946e-06,1,1,1,False
181,298,1,8.370999992735051e-06,6.669999947916949e-07,9.037999987526746e-06,1,1,1,False
182,298,1,8.268000001976361e-06,7.050000050412564e-07,8.973000007017617e-06,1,1,1,False
183,298,1,8.425000004308458e-06,7.070000123121645e-07,9.132000016620623e-06,1,1,1,False
184,298,1,8.307999991075121e-06,6.920000004129179e-07,8.999999991488039e-06,1,1,1,False
185,298,1,8.342000000993721e-06,6.77000002724526e-07,9.019000003718247e-06,1,1,1,False
186,298,1,8.425999993733058e-06,6.890000037174104e-07,9.114999997450468e-06,1,1,1,False
187,298,1,8.425000004308458e-06,6.899999931420098e-07,9.114999997450468e-06,1,1,1,False
188,298,1,8.469000007949035e-06,6.639999980961875e-07,9.133000006045222e-06,1,1,1,False
189,298,1,8.393000001660766e-06,7.109999984322712e-07,9.104000000093038e-06,1,1,1,False
190,298,1,8.368999999674998e-06,6.929999898375172e-07,9.061999989512515e-06,1,1,1,False
191,298,1,8.327999992729929e-06,6.629999944607334e-07,8.990999987190662e-06,1,1,1,False
192,298,1,8.397999991416327e-06,6.930000040483719e-07,9.0909999954647e-06,1,1,1,False
193,298,1,8.611999987806485e-06,6.920000004129179e-07,9.303999988219402e-06,1,1,1,False
194,298,1,8.390999994389858e-06,6.749999954536179e-07,9.065999989843476e-06,1,1,1,False
195,298,1,8.453999996049788e-06,7.390000007490016e-07,9.19299999679879e-06,1,1,1,False
196,298,1,8.469000007949035e-06,6.759999990890719e-07,9.145000007038107e-06,1,1,1,False
197,298,1,8.33800000066276e-06,7.069999981013098e-07,9.04499999876407e-06,1,1,1,False
198,298,1,8.27499999900283e-06,6.880000000819564e-07,8.962999999084786e-06,1,1,1,False
199,298,1,8.371000006945906e-06,6.7800000635998e-07,9.049000013305886e-06,1,1,1,False
200,298,1,8.381000000667882e-06,6.759999990890719e-07,9.056999999756954e-06,1,1,1,False
201,298,1,8.406999995713704e-06,6.930000040483719e-07,9.099999999762076e-06,1,1,1,False
202,298,1,8.33100000363629e-06,6.77000002724526e-07,9.008000006360817e-06,1,1,1,False
203,298,1,8.416000000011081e-06,9.250000090332833e-07,9.341000009044365e-06,1,1,1,False
204,298,1,8.467000000678127e-06,7.170000060341408e-07,9.184000006712267e-06,1,1,1,False
205,298,1,3.105099999345384e-05,1.041999993844911e-06,3.2092999987298754e-05,1,1,1,False
206,298,1,1.0090999992939942e-05,7.900000014160469e-07,1.0880999994355989e-05,1,1,1,False
207,298,1,9.130000009349715e-06,7.459999977754705e-07,9.876000007125185e-06,1,1,1,False
208,298,1,8.710000003020468e-06,7.350000004180401e-07,9.445000003438508e-06,1,1,1,False
209,298,1,8.620999992103862e-06,7.379999971135476e-07,9.35899998921741e-06,1,1,1,False
210,298,1,8.692000008636569e-06,6.779999921491253e-07,9.370000000785694e-06,1,1,1,False
211,298,1,8.533000013244418e-06,7.299999964516246e-07,9.263000009696043e-06,1,1,1,False
212,298,1,8.600000001024455e-06,6.990000116502415e-07,9.299000012674696e-06,1,1,1,False
213,298,1,8.641000007969524e-06,7.060000086767104e-07,9.347000016646234e-06,1,1,1,False
214,298,1,8.356999998682113e-06,7.520000053773401e-07,9.109000004059453e-06,1,1,1,False
215,298,1,8.659000002353423e-06,7.259999961206631e-07,9.384999998474086e-06,1,1,1,False
216,298,1,8.347999994384736e-06,7.470000014109246e-07,9.09499999579566e-06,1,1,1,False
217,298,1,8.562000004985748e-06,7.109999984322712e-07,9.27300000341802e-06,1,1,1,False
218,298,1,8.476999994400103e-06,7.120000020677253e-07,9.188999996467828e-06,1,1,1,False
219,298,1,8.399999998687235e-06,6.749999954536179e-07,9.074999994140853e-06,1,1,1,False
220,298,1,8.34899999802019e-06,6.739999918181638e-07,9.022999989838354e-06,1,1,1,False
221,298,1,8.280999992393845e-06,6.869999964465023e-07,8.967999988840347e-06,1,1,1,False
222,298,1,8.538999992424579e-06,7.179999954587402e-07,9.256999987883319e-06,1,1,1,False
223,298,1,8.573999991767778e-06,6.820000066909415e-07,9.25599999845872e-06,1,1,1,False
224,298,1,8.424000000673004e-06,7.559999914974469e-07,9.179999992170451e-06,1,1,1,False
225,298,1,8.6510000016915e-06,7.180000096695949e-07,9.369000011361095e-06,1,1,1,False
226,298,1,8.469999997373634e-06,6.909999967774638e-07,9.160999994151098e-06,1,1,1,False
