Index,Observation,Risk,TrackTime,ReduceTime,TotalTime,NrBeliefsBR,NrBeliefsAR,Dimension,TimedOut
0,101,95341/1000000,0.44297553300003756,1.7710000292936456e-06,0.44297730400006685,1,1,1,False
1,49,611831/4000000,2.0826000024953828e-05,1.0150000093744893e-06,2.1841000034328317e-05,1,1,1,False
2,69,4740163/20000000,5.062200000338635e-05,7.229999710034463e-07,5.134499997438979e-05,3,3,3,False
3,350,30919949/80000000,3.0826999989130854e-05,8.069999921644921e-07,3.1633999981295347e-05,2,2,2,False
4,8,157222253/336000000,0.0003262449999965611,7.680000067011861e-07,0.0003270130000032623,12,12,3,False
5,49,4164443/10500000,0.0002582729999858202,8.349999802703678e-07,0.0002591079999660906,12,12,3,False
6,69,171833037/356000000,0.027331375999949614,1.7350000121041376e-06,0.02733311099996172,211,211,5,False
7,284,824663/2000000,0.0012875929999722757,1.2660000265896088e-06,0.0012888589999988653,1,1,1,False
8,8,1856281/8000000,1.5412999971431418e-05,7.570000093437557e-07,1.6169999980775174e-05,1,1,1,False
9,24,388783/2000000,1.0905000010552612e-05,7.250000066960638e-07,1.1630000017248676e-05,1,1,1,False
10,40,5810451/20000000,3.320299998677001e-05,7.490000371035421e-07,3.395200002387355e-05,3,3,3,False
11,78,47279/250000,3.0095999989043776e-05,7.730000106676016e-07,3.086899999971138e-05,3,3,3,False
12,33,7203803/25000000,0.0005124419999447127,8.640000146442617e-07,0.000513305999959357,23,23,6,False
13,78,244451/781250,0.0003645140000116953,8.12999985555507e-07,0.0003653269999972508,23,23,6,False
14,33,52770179/125000000,0.14608771000001752,2.752999989752425e-06,0.14609046300000728,901,901,9,False
15,24,225629281/372000000,0.15040924800001676,3.853000009712559e-06,0.15041310100002647,777,777,7,False
16,40,0,0,0,0,0,0,0,True
