Index,Observation,Risk,TrackTime,ReduceTime,TotalTime,NrBeliefsBR,NrBeliefsAR,Dimension,TimedOut
0,10266,0,9.43559999768695e-05,0.0068292799999198905,0.00692363599989676,1,1,1,False
1,3722,0,2.3694999981671572e-05,0.006817550000050687,0.006841245000032359,1,1,2,False
2,6634,0,6.532099996547913e-05,0.00793551199990361,0.00800083299986909,3,2,3,False
3,6806,0,0.0001639829999930953,0.007417854999971496,0.007581837999964591,5,3,4,False
4,10266,0,4.377399989152764e-05,0.006153984999968998,0.006197758999860525,1,1,1,False
5,9896,0,2.3284000008061412e-05,0.00681137900005524,0.006834663000063301,1,1,2,False
6,3316,0,9.075699995264586e-05,0.006546330999981365,0.0066370879999340104,3,2,3,False
7,3983,0,7.639600005404645e-05,0.006100620999973216,0.006177017000027263,1,1,2,False
8,9019,0,4.8846999902707466e-05,0.006414755000037076,0.006463601999939783,1,1,2,False
9,10266,0,2.1161000063329993e-05,0.006143036999901597,0.006164197999964927,1,1,1,False
10,3983,0,2.1391000018411432e-05,0.006619860000000699,0.0066412510000191105,1,1,2,False
11,9019,0,6.693000000268512e-05,0.006676421000065602,0.006743351000068287,3,2,3,False
12,10266,0,2.7580999926613003e-05,0.006087838999974338,0.006115419999900951,1,1,1,False
13,1594,0,2.028999995218328e-05,0.006152262999989944,0.006172552999942127,1,1,2,False
14,4055,0,4.332699995757139e-05,0.006171332999997503,0.0062146599999550745,1,1,2,False
15,7870,0,0.00011633600001914601,0.006844069000067066,0.006960405000086212,3,2,3,False
16,5589,0,0.00014446299996961898,0.007101723000005222,0.007246185999974841,5,3,4,False
17,5324,0,0.000177525000026435,0.0078117749999364605,0.007989299999962896,5,3,4,False
18,1030,0,0.00017887600006361026,0.007306303000063963,0.007485179000127573,5,3,4,False
19,8289,0,0.00018106000004536327,0.007520870000007562,0.007701930000052926,5,3,4,False
20,5208,0,0.0003767320000633845,0.009020666999958848,0.009397399000022233,7,4,5,False
21,880,0,0.00026753700001336256,0.008104351000042698,0.00837188800005606,7,4,5,False
22,10047,0,4.814800001895492e-05,0.006347273999949721,0.006395421999968676,1,1,1,False
23,9031,0,2.2025000021130836e-05,0.0061066360000268105,0.006128661000047941,1,1,2,False
24,5113,0,8.601599995472498e-05,0.006415953999976409,0.006501969999931134,3,2,3,False
25,3078,0,0.00014079100003527856,0.0073161919999620295,0.007456982999997308,5,3,4,False
26,7321,0,0.00013530199998967873,0.006568021000020963,0.006703323000010641,3,2,3,False
27,7312,0,0.00014354999996157858,0.0069328320000749954,0.007076382000036574,5,3,4,False
28,1579,0,0.0001748800000314077,0.00723562000007405,0.007410500000105458,5,3,4,False
29,5523,0,0.00019247700004143553,0.007287945999905787,0.007480422999947223,5,3,4,False
30,5258,0,0.00017780099994979537,0.007805762999964827,0.007983563999914622,5,3,4,False
31,9,0,0.0001335299999709605,0.007180730999948537,0.007314260999919497,3,2,3,False
32,5636,0,0.0001596999999264881,0.007176529000048504,0.007336228999974992,5,3,4,False
33,8545,0,0.00022784299994782486,0.00816935000000285,0.008397192999950676,7,4,5,False
34,961,0,0.00019315600002300926,0.007258079999928668,0.0074512359999516775,5,3,4,False
35,6509,0,0.00012822299993331399,0.006987122999930762,0.0071153459998640756,3,2,3,False
36,1837,0,0.00012094900000647613,0.0065606950000756115,0.006681644000082088,3,2,3,False
37,7712,0,6.980799992106768e-05,0.005957895999927132,0.0060277039998482,1,1,2,False
38,9767,0,7.827999991150136e-05,0.006504099000039787,0.006582378999951288,3,2,3,False
39,2216,0,0.00014026699989244662,0.006882741999902464,0.007023008999794911,5,3,4,False
40,1830,0,0.0001750709999441824,0.007151025999974081,0.0073260969999182635,5,3,4,False
41,1465,0,0.00020271000005323003,0.007715271999927609,0.007917981999980839,7,4,5,False
42,9353,0,0.0002392740000232152,0.007847705000017413,0.008086979000040628,7,4,5,False
43,3910,0,0.00016333700000359386,0.006593111000029239,0.006756448000032833,3,2,3,False
44,1844,9/100000000000000,0.00014108499999565538,0.007856791999984125,0.00799787699997978,5,3,4,False
45,8779,1017/100000000000000,0.00020724800003790733,0.0078721240000732,0.008079372000111107,5,3,4,False
46,5878,106047/200000000000000,0.00018863499997223698,0.008110288000011678,0.008298922999983915,5,3,4,False
47,5936,3378681/200000000000000,0.00020605700001397054,0.009349996000082683,0.009556053000096654,5,3,4,False
48,1718,14684769/40000000000000,0.00021418300002551405,0.007266688999948201,0.007480871999973715,5,3,4,False
49,700,3343743063/50000000000000,0.00023226699988754262,0.007603430000017397,0.00783569699990494,7,4,5,False
50,2707,1150110909/200000000000000,0.0001644750000195927,0.006911287999969318,0.0070757629999889105,3,2,3,False
51,2122,3343743063/50000000000000,0.00012021499992442841,0.0064964460000283,0.006616660999952728,3,2,3,False
52,4622,193880886597/50000000000000,0.00014483300003576005,0.006838825999921028,0.006983658999956788,5,3,4,False
53,4132,192857893047/10000000000000,0.000178581000000122,0.006951668000056088,0.00713024900005621,5,3,4,False
54,8262,193880886597/50000000000000,8.316399998875568e-05,0.006184877000009692,0.006268040999998448,1,1,2,False
55,4929,14195331000423/200000000000000,8.256299997810856e-05,0.006407294999917212,0.006489857999895321,3,2,3,False
56,1543,37718604664389/200000000000000,0.00011739700005364284,0.006340378000004421,0.006457775000058064,3,2,3,False
57,1356,90818181818181/200000000000000,0.000175204000015583,0.007635655999933988,0.007810859999949571,5,3,4,False
58,562,90818181818181/200000000000000,0.00029460899997957313,0.007132913000077679,0.007427522000057252,3,2,3,False
59,4033,9081818181819/20000000000000,0.00012465400004657567,0.006694456999980503,0.006819111000027078,3,2,3,False
60,3011,90818181819/200000000000,0.000145663000012064,0.008575050999979794,0.008720713999991858,5,3,4,False
61,6287,90818181819/200000000000,0.00011177700002917845,0.006705143999965912,0.006816920999995091,3,2,3,False
62,6971,908181819/2000000000,0.00014700799999900482,0.007960850000017672,0.008107858000016677,5,3,4,False
63,2269,908181819/2000000000,0.00015518699990479945,0.00819542299996101,0.00835060999986581,5,3,4,False
64,6971,908181819/2000000000,8.059699996465497e-05,0.006329768999989938,0.0064103659999545926,1,1,2,False
65,5260,9081819/20000000,7.136099998206191e-05,0.0065947049999977025,0.0066660659999797645,3,2,3,False
66,6226,9081819/20000000,0.00010315600002286374,0.006620147000035104,0.0067233030000579674,3,2,3,False
67,7396,90819/200000,0.00014511000006223185,0.0073946119999845905,0.007539722000046822,5,3,4,False
68,2614,90819/200000,0.00015430799999194278,0.006958758999985548,0.007113066999977491,3,2,3,False
69,3351,9081/20000,0.00012616100002560415,0.007005753000044024,0.007131914000069628,3,2,2,False
70,5964,9/20,5.526699999336415e-05,0.006782441000041217,0.006837708000034581,1,1,1,False
71,981,1,2.105399994434265e-05,0.006639967000069191,0.006661021000013534,1,1,1,False
72,981,1,1.523800005998055e-05,0.006527386000016122,0.006542624000076103,1,1,1,False
73,981,1,1.674799989359599e-05,0.006832085000041843,0.006848832999935439,1,1,1,False
74,981,1,1.8438999973113823e-05,0.006988756999930956,0.00700719599990407,1,1,1,False
75,981,1,2.0468999991862802e-05,0.0067388190000201575,0.00675928800001202,1,1,1,False
76,981,1,1.604600004156964e-05,0.007069786999977623,0.007085833000019193,1,1,1,False
77,981,1,1.8036000028587296e-05,0.006566385999917657,0.006584421999946244,1,1,1,False
78,981,1,1.6064999954323866e-05,0.006181444000048941,0.006197509000003265,1,1,1,False
79,981,1,1.4809999925091688e-05,0.006157938000001195,0.006172747999926287,1,1,1,False
80,981,1,3.823899999133573e-05,0.0064187599999741,0.006456998999965435,1,1,1,False
81,981,1,1.3467000030686904e-05,0.005999801999905685,0.006013268999936372,1,1,1,False
82,981,1,1.3162000072952651e-05,0.00593121000008523,0.005944372000158182,1,1,1,False
83,981,1,1.4728999985891278e-05,0.006505218000029345,0.006519947000015236,1,1,1,False
84,981,1,1.7458000002079643e-05,0.006151371999976618,0.006168829999978698,1,1,1,False
85,981,1,1.4285000020208827e-05,0.006234160000076372,0.006248445000096581,1,1,1,False
86,981,1,1.5003000044089276e-05,0.0062014910000698364,0.006216494000113926,1,1,1,False
87,981,1,1.5641000004507077e-05,0.006168278999894028,0.006183919999898535,1,1,1,False
88,981,1,1.5539000060016406e-05,0.005944420999981048,0.005959960000041065,1,1,1,False
89,981,1,1.428000007308583e-05,0.006087758999910875,0.006102038999983961,1,1,1,False
90,981,1,1.4724000038768281e-05,0.0062600800000609524,0.006274804000099721,1,1,1,False
91,981,1,1.675699991210422e-05,0.006860244999984388,0.006877001999896493,1,1,1,False
92,981,1,1.7981000041800144e-05,0.006886699000006047,0.006904680000047847,1,1,1,False
93,981,1,1.668799995968584e-05,0.006199734999995599,0.0062164229999552845,1,1,1,False
94,981,1,0.00015986300002168718,0.006917350000094302,0.007077213000115989,1,1,1,False
95,981,1,1.854599997841433e-05,0.006050586000014846,0.00606913199999326,1,1,1,False
96,981,1,1.5759999996589613e-05,0.005889109999998254,0.005904869999994844,1,1,1,False
97,981,1,1.4616999919780937e-05,0.006622599999900558,0.006637216999820339,1,1,1,False
98,981,1,1.637999991999095e-05,0.006253019000041604,0.006269398999961595,1,1,1,False
99,981,1,1.4807000070504728e-05,0.006008819000044241,0.006023626000114746,1,1,1,False
100,981,1,1.5699999948992627e-05,0.006230246999962219,0.006245946999911212,1,1,1,False
101,981,1,1.577799991991924e-05,0.0062482729999828734,0.006264050999902793,1,1,1,False
102,981,1,1.4952000015000522e-05,0.005965522999986206,0.005980475000001206,1,1,1,False
103,981,1,3.464600001734652e-05,0.006249979999893185,0.006284625999910531,1,1,1,False
104,981,1,2.5027999981830362e-05,0.006851644999983364,0.006876672999965194,1,1,1,False
105,981,1,1.7071999991458142e-05,0.00666014399996584,0.006677215999957298,1,1,1,False
106,981,1,1.669999994646787e-05,0.006275455000036345,0.006292154999982813,1,1,1,False
107,981,1,1.4642999985881033e-05,0.007210583999949449,0.00722522699993533,1,1,1,False
108,981,1,1.6882000068108027e-05,0.006111873000008927,0.006128755000077035,1,1,1,False
109,981,1,1.522600007319852e-05,0.0059507000000849075,0.005965926000158106,1,1,1,False
110,981,1,1.4605000046685745e-05,0.005840260999889324,0.00585486599993601,1,1,1,False
111,981,1,1.3915999943492352e-05,0.005987093000044297,0.006001008999987789,1,1,1,False
112,981,1,1.3810000041303283e-05,0.005796155999973962,0.005809966000015265,1,1,1,False
113,981,1,1.4200000009623182e-05,0.005765204999988782,0.005779404999998405,1,1,1,False
114,981,1,1.2436000019988569e-05,0.00609653099991192,0.0061089669999319085,1,1,1,False
115,981,1,1.3636000062433595e-05,0.005942699999991419,0.005956336000053852,1,1,1,False
116,981,1,1.5179000001808163e-05,0.005983036999964497,0.005998215999966305,1,1,1,False
117,981,1,1.6540000046916248e-05,0.0057970880000084435,0.00581362800005536,1,1,1,False
