Index,Observation,Risk,TrackTime,ReduceTime,TotalTime,NrBeliefsBR,NrBeliefsAR,Dimension,TimedOut
0,10266,0,0.05623924799999713,1.599999961854337e-06,0.05624084799995899,1,1,1,False
1,3983,0,1.793900003121962e-05,7.830000186004327e-07,1.8722000049820053e-05,1,1,2,False
2,383,0,5.6732000018655526e-05,7.179999670370307e-07,5.744999998569256e-05,3,3,3,False
3,2044,0,0.00043573100003868603,7.900000014160469e-07,0.0004365210000401021,9,9,4,False
4,4293,0,0.001270271999999295,7.479999908355239e-07,0.0012710199999901306,5,5,3,False
5,8586,0,0.0007431540000197856,7.760000357848185e-07,0.0007439300000555704,6,6,3,False
6,2333,0,0.00096195800000487,7.959999948070617e-07,0.000962753999999677,21,21,4,False
7,10266,0,0.0002136079999672802,7.010000331320043e-07,0.0002143090000004122,1,1,1,False
8,3983,0,1.383699998314114e-05,6.619999908252794e-07,1.449899997396642e-05,1,1,2,False
9,2505,0,5.266900001288377e-05,6.750000238753273e-07,5.33440000367591e-05,3,3,3,False
10,6651,0,0.00020287000000962507,7.439999762937077e-07,0.00020361399998591878,4,4,3,False
11,6924,0,0.000763849999998456,7.919999802652455e-07,0.0007646419999787213,13,13,4,False
12,3992,0,0.006864205999988826,1.364000013381883e-06,0.006865570000002208,32,32,4,False
13,6878,0,0.014200001000006068,8.439999987785995e-07,0.014200845000004847,7,7,3,False
14,7983,0,0.0018635330000051908,7.999999525054591e-07,0.0018643329999576963,25,25,4,False
15,5313,0,0.011573731999988013,7.490000371035421e-07,0.011574481000025116,9,9,3,False
16,618,0,0.0010106910000331482,7.220000384222658e-07,0.0010114130000715704,10,10,3,False
17,4295,0,0.0019041189999597918,8.060000027398928e-07,0.0019049249999625317,11,11,3,False
18,9373,0,0.0038685459999783234,7.599999776175537e-07,0.003869305999955941,41,41,4,False
19,7688,0,0.03876525399999764,1.499999996212864e-06,0.03876675399999385,108,108,4,False
20,7343,0,0.1558590789999812,2.0530000028884388e-06,0.15586113199998408,242,242,4,False
21,4231,0,0.4641829430000257,1.8389999922874267e-06,0.464184782000018,489,489,4,False
22,7272,0,0.3378198639999823,1.8729999737843173e-06,0.3378217369999561,16,16,3,False
23,537,0,0.007257555999956367,1.3779999790131114e-06,0.00725893399993538,60,60,4,False
24,9025,0,0.018426258999966194,1.1209999684069771e-06,0.0184273799999346,1,1,2,False
25,3744,0,7.088900002827359e-05,8.739999657336739e-07,7.176299999400726e-05,3,3,3,False
26,7982,0,0.00047439299999041395,8.409999736613827e-07,0.00047523399996407534,9,9,4,False
27,3369,0,0.004176368999992519,1.777999955265841e-06,0.004178146999947785,21,21,4,False
28,9860,0,0.014300980999962576,2.350999977807078e-06,0.014303331999940383,48,48,4,False
29,6622,0,0.042906410000000506,1.7760000332600612e-06,0.042908186000033766,106,106,4,False
30,6290,9/100000000000000,0.08115992500000857,1.3289999856169743e-06,0.08116125399999419,227,227,4,False
31,7738,1017/100000000000000,0.29893778000001703,2.1070000002509914e-06,0.2989398870000173,473,473,4,False
32,7494,0,0,0,0,0,0,0,True
