Index,Observation,Risk,UnfTime,McTime,TotalTime,MdpStates,MdpTransitions,TimedOut
0,10266,0,3.2023999999353236e-05,6.062900000358695e-05,9.265300000294019e-05,4,4,False
1,3983,0,4.4563999999525095e-05,5.732900000054997e-05,0.00010189300000007506,6,9,False
2,6899,0,8.724499999601676e-05,6.732599999992317e-05,0.00015457099999593993,9,20,False
3,942,0,0.00013696100000260003,8.454499999999143e-05,0.00022150600000259146,13,36,False
4,8936,0,0.00018353499999790301,0.00011218499999898768,0.0002957199999968907,17,58,False
5,5589,0,0.00026889199999402535,0.00014199499999989484,0.0004108869999939202,21,80,False
6,7768,0,0.0003211759999999231,0.00018534599999497914,0.0005065219999949022,26,105,False
7,8036,0,0.0004137530000036804,0.00019814499999881718,0.0006118980000024976,30,130,False
8,1877,0,0.0004965649999988386,0.00023255100000341145,0.0007291160000022501,34,152,False
9,7561,0,0.0005539720000058423,0.000261462000004542,0.0008154340000103844,39,177,False
10,4681,0,0.0006216129999998543,0.0002906570000007491,0.0009122700000006034,43,202,False
11,7343,0,0.000684038000002829,0.00031773999999984426,0.0010017780000026733,47,224,False
12,3296,0,0.0007378709999983357,0.0003453500000034637,0.0010832210000017994,51,246,False
13,9187,0,0.0009497280000019259,0.0003854129999965039,0.0013351409999984298,55,268,False
14,2743,0,0.0008824070000059692,0.0003631619999993063,0.0012455690000052755,59,290,False
15,932,0,0.0008499969999959944,0.000353576999998495,0.0012035739999944894,63,312,False
16,7746,0,0.0008570849999998131,0.0003752410000004147,0.0012323260000002279,67,334,False
17,5414,0,0.0009018209999993587,0.00039693600000134666,0.0012987570000007054,71,356,False
18,401,0,0.0009472240000008014,0.0004185690000042541,0.0013657930000050555,75,378,False
19,5916,0,0.0009967869999982781,0.0005433469999971408,0.0015401339999954189,78,393,False
20,3952,0,0.0010211600000005205,0.0005786890000010203,0.0015998490000015408,81,403,False
21,7493,9/100000000000000,0.0010440979999941646,0.004826704000002735,0.0058708019999969,84,417,False
22,2600,106047/200000000000000,0.0011363710000011906,0.004697809999996139,0.005834180999997329,88,438,False
23,3507,106047/200000000000000,0.0011933380000002103,0.00531957899999469,0.0065129169999949,91,457,False
24,3524,14684769/40000000000000,0.0015273530000001756,0.00545872700000416,0.0069860800000043355,95,477,False
