Index,Observation,Risk,UnfTime,McTime,TotalTime,MdpStates,MdpTransitions,TimedOut
0,7866,0.0,3.265600003032887e-05,5.6412000049022026e-05,8.90680000793509e-05,4,4,False
1,1710,0.0,2.798799982883793e-05,3.8339999946401804e-05,6.632799977523973e-05,8,13,False
2,7502,0.0,3.899400007867371e-05,3.749999996216502e-05,7.649400004083873e-05,14,43,False
3,6690,0.0,5.706899992219405e-05,3.7800999962200876e-05,9.486999988439493e-05,22,93,False
4,9315,0.0,7.415200002469646e-05,6.810600007156609e-05,0.00014225800009626255,28,139,False
5,1620,0.0,0.00015150399985941476,6.721499994455371e-05,0.00021871899980396847,34,179,False
6,3199,0.0,0.00012537899988274148,4.7319000032075564e-05,0.00017269799991481705,40,219,False
7,7217,0.0,0.00012783200008925633,4.544499984149297e-05,0.0001732769999307493,44,249,False
8,8352,0.0,0.00013226800001575612,4.027299996778311e-05,0.00017254099998353922,50,283,False
9,7270,0.0,0.00013673100011146744,3.829600018434576e-05,0.0001750270002958132,58,333,False
10,687,0.0,0.0001482749999013322,3.889899994646839e-05,0.0001871739998478006,62,369,False
11,880,0.0,0.00020118400016144733,3.9531000084025436e-05,0.00024071500024547277,68,399,False
12,723,0.0,0.0001641810001729027,3.9649999962421134e-05,0.00020383100013532385,72,423,False
13,2469,0.0,0.00022443099987867754,4.8173000095630414e-05,0.00027260399997430795,78,453,False
14,6566,0.0,0.00019483799997033202,3.9616999856662005e-05,0.00023445499982699403,84,487,False
15,5278,0.0,0.00018556999998509127,3.7882000015088124e-05,0.0002234520000001794,88,511,False
16,5916,0.0,0.0002304339998318028,4.4255999910092214e-05,0.000274689999741895,94,541,False
17,5886,0.0,0.00022044399997867004,4.1177999946739874e-05,0.0002616219999254099,100,575,False
18,5373,0.0,0.000218969999878027,3.9890999914860004e-05,0.000258860999792887,106,609,False
19,7866,0.0,0.00022053700013202615,3.8829000004625414e-05,0.00025936600013665156,108,617,False
20,3934,0.0,0.0002191989999573707,3.861099980895233e-05,0.000257809999766323,112,631,False
21,6714,0.0,0.00022909700010131928,3.874200001519057e-05,0.00026783900011650985,118,661,False
22,3586,0.0,0.0002409210001133033,5.977499995424296e-05,0.00030069600006754627,126,711,False
23,1934,0.0,0.00040188899993154337,6.410500009224052e-05,0.0004659940000237839,136,769,False
24,7832,0.0,0.0003939129999253055,6.638399986513832e-05,0.0004602969997904438,146,841,False
25,3994,0.0,0.0003760929998861684,4.590100002133113e-05,0.00042199399990749953,154,903,False
26,6491,0.0,0.00034331300003032084,0.0001284009999835689,0.00047171400001388974,164,969,False
27,6880,0.0,0.00037120299998605333,4.494399991017417e-05,0.0004161469998962275,174,1041,False
28,1029,0.0,0.0004004219999842462,4.865899995820655e-05,0.00044908099994245276,182,1093,False
29,8787,0.0,0.00038844300001983356,4.5256000021254295e-05,0.00043369900004108786,192,1159,False
30,3554,0.0,0.0004086819999429281,4.504599996835168e-05,0.00045372799991127977,200,1221,False
31,1801,0.0,0.00041511399990667996,4.6283999836305156e-05,0.0004613979997429851,206,1267,False
32,7153,0.0,0.000493401000085214,4.934200001116551e-05,0.0005427430000963795,214,1317,False
33,5129,0.0,0.0004409130001477024,5.178499986868701e-05,0.0004926980000163894,222,1365,False
34,5373,0.0,0.0006378960001711675,0.00021157900005164265,0.0008494750002228102,228,1403,False
35,7866,0.0,0.0008680659998390183,9.871700012809015e-05,0.0009667829999671085,230,1411,False
36,1316,0.0,0.0005852990000221325,5.75340000068536e-05,0.0006428330000289861,234,1425,False
37,9807,0.0,0.000543408999874373,7.154600007197587e-05,0.0006149549999463488,240,1455,False
38,3563,0.0,0.0005975720000606088,0.00010779899980661867,0.0007053709998672275,248,1499,False
39,9807,0.0,0.0007224690000384726,7.743600008325302e-05,0.0007999050001217256,254,1537,False
40,3443,0.0,0.0005745070000102714,5.527700000129698e-05,0.0006297840000115684,262,1581,False
41,3994,0.0,0.0005589039999449597,5.225299992162036e-05,0.00061115699986658,270,1629,False
42,1964,0.0,0.0005467940000016824,4.9836000016512116e-05,0.0005966300000181946,276,1675,False
43,5743,0.0,0.0006381830000918853,6.932500014045218e-05,0.0007075080002323375,284,1719,False
