d,pobs,turn,risk
399,59,0,1
399,59,1,1
398,59,0,1
398,59,1,1
397,59,0,1
397,59,1,1
396,59,0,1
396,59,1,1
395,59,0,1
395,59,1,1
394,59,0,1
394,56,1,1
394,56,0,1
394,59,1,1
393,59,0,1
393,59,1,1
392,59,0,1
392,58,1,1
391,58,0,1
391,59,1,1
390,59,0,1
390,59,1,1
390,59,0,1
390,58,1,1
389,58,0,1
389,58,1,1
388,58,0,1
388,57,1,1
388,57,0,1
388,57,1,1
387,57,0,1
387,55,1,1
387,55,0,3412740003600379205878449849036975216120345524399147492018906990354891591415851527504705717496239170181799437954013771433426628011830363179536839568762432557493440254430618458022070280509419440088469720561287853509418188355819978154557217416109951312610183179616489061236777952739300531369428816277046310389683184114642817798050019945609325063220445404268384600996034973298617850985638162566736004772893769899757907238618658767506998425943840515755012966404928900107564268943957713495584980351508959110671297832165798112826951426519726253999457309768043630659255466471191841827641625297425735265547783669832036255930518590476153971256522671330073607285973095456123238016511409685234151472784779819159223069363302898639713627129209192512033707695502936156832099248480383636372169882726955152441430099600150937272394165734790834269928212620918872668771313194976971007850979509286804486164557830792424294914776368190274003611344682206700061070003012738191262481999732278668159993548177785584994353403654150069693859778958609320978165523406203818002871277829164370326963576363538579158878852900925311136562533533992328241051319082420326347810837368129129614592295964269316092776434974901473405385457022934119372836304912235137434285918835525728942164451303293122240134191934371497697061286039394024995135100413679928081563237411807316090313770242038060056782675092749876307852590321587516588538429053285303382513267700171744749815457857599143932423410215328139871172164990097882161055758871698371336139432449065201405025931/4882160056780148804795459071979323477939184196462155710858498760000006256408607649329093905851347850211673929739527068953917839362949750488097232038780289664909406839187611648025549610710474190940803192800379525833630408210434087129180094306737566920379851589818644824009230296229355538019411245644911404635680020592680816050987187527138649034627507423554402134979045497285918295517718003697395525706442537000515400145500967106167530390255526129545912741404075363627465177178049248473839897626925210621630142760092615083341090214554809361825691162329416761332681681224444254586569938124301853850419087189489136105360713695633283982440120125601365287396487408962170358744777000453178498879909009408880605983475163607559081479997285178136603654032187500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
